N,node,s_true,x_sur,y_sur,x_hat,y_hat,delta_norm,delta_over_h,delta_n,delta_t,delta_t_frac,normal_x,normal_y,abs_err,signed_err,class,plus_scalar_dof,plus_selected_elem,plus_selected_loc,plus_parent_elem,plus_selected_is_parent,plus_bary_min_selected,plus_bary_min_parent,plus_inside_selected,plus_inside_parent,minus_scalar_dof,minus_selected_elem,minus_selected_loc,minus_parent_elem,minus_selected_is_parent,minus_bary_min_selected,minus_bary_min_parent,minus_inside_selected,minus_inside_parent
70,0,0.0033373449286271395,9.984255481169278,10.00247079977235,9.99499398260706,10.008670676468148,0.012399753391593504,0.04339913687057727,-0.012399753391593505,6.991070793553641e-16,5.638072446096617e-14,-0.8660254037844387,-0.5,0.00023259854586692033,0.00023259854586692033,sliding,280,1411,0,1411,1,-0.03599315500555858,-0.03599315500555858,0,0,6676,2741,0,2741,1,-0.056139689003788615,-0.056139689003788615,0,0
70,1,-0.616277906987078,11.00125257030975,8.443224148027488,10.924416860480617,8.398863030274262,0.08872223550645214,0.3105278242725825,0.08872223550645215,-9.392117114067585e-17,1.0585978881680187e-15,-0.8660254037844387,-0.5,0.00012182916337130016,0.00012182916337130016,sliding,345,417,0,3219,0,-0.3105948631793381,-0.4135851754833656,0,0,6677,3012,0,3012,1,-0.18745821725867873,-0.18745821725867873,0,0
70,2,0.48538523738313044,9.267329165218575,11.25841608109448,9.271922143925304,11.261067838587193,0.005303514985424198,0.018562302448984692,-0.0053035149854241985,2.2320278949342335e-16,4.208582234741638e-14,-0.8660254037844387,-0.5,0.00021713740269262583,0.00021713740269262583,sliding,741,6069,0,9546,0,-0.008774654933758542,-0.018800749415242398,0,0,6678,7093,0,7093,1,-0.02039063497464222,-0.02039063497464222,0,0
70,3,0.21328690299384445,9.687189906210143,10.5582465132939,9.680069645509233,10.55413562886153,0.008221768864741156,0.02877619102659405,0.008221768864741155,8.472603179391609e-16,1.0305085582892203e-13,-0.8660254037844387,-0.5,0.0002584192129339146,0.0002584192129339146,sliding,1202,1304,0,1304,1,-0.03637948124074698,-0.03637948124074698,0,0,6679,737,0,737,1,0.0043775225031091195,0.0043775225031091195,1,1
70,4,0.6187601718874527,9.191023532764826,11.67638532969194,9.07185974216882,11.607586083113679,0.13759849315651967,0.4815947260478189,0.1375984931565197,-5.399030808077289e-16,3.9237572187188396e-15,-0.8660254037844387,-0.5,0.0002452814615133325,0.0002452814615133325,sliding,1664,229,0,11920,0,-0.7397761554361826,-0.1890089446940498,0,0,6680,11456,0,11456,1,0.16292267612718195,0.16292267612718195,1,1
70,5,0.3527603609922223,9.5120627749402,10.94028704803382,9.470859458511667,10.916498302202301,0.04757749166303739,0.16652122082063087,0.04757749166303739,-2.5250858549167244e-16,5.3073118541018956e-15,-0.8660254037844387,-0.5,0.0002685274466200059,0.0002685274466200059,sliding,1673,9545,0,9545,1,-0.16931259487561912,-0.16931259487561912,0,0,6681,3558,0,3558,1,0.05254413394142242,0.05254413394142242,1,1
70,6,-0.13764873863321925,10.14589513827405,9.60740337953497,10.20647310794983,9.642378086634244,0.06994941419854556,0.24482294969490945,-0.06994941419854556,7.372414563930888e-16,1.0539637319913654e-14,-0.8660254037844387,-0.5,0.00021142359626870333,0.00021142359626870333,sliding,1850,2,1,185,0,0.0944802989760606,-0.11381295494121378,1,0,6682,5252,0,5252,1,-0.25189458217922006,-0.25189458217922006,0,0
70,7,0.9862583020047722,8.476859799325037,12.53711357204452,8.520612546992842,12.562374232688313,0.05052132128758575,0.17682462450655012,-0.050521321287585755,4.755629967231852e-16,9.413114791992624e-15,-0.8660254037844387,-0.5,0.00043141210882606355,0.00043141210882606355,sliding,1910,11300,0,11300,1,-0.08919951340688588,-0.08919951340688588,0,0,6683,9930,0,12120,0,-0.163998933570791,-0.25002189303161315,0,0
70,8,-0.30326155626517803,10.49928286429331,9.237732249234119,10.454892334397767,9.212103364849456,0.051257768769323676,0.17940219069263288,0.051257768769323676,-8.796889750901996e-16,1.7162061404761508e-14,-0.8660254037844387,-0.5,0.0002122364688502583,0.0002122364688502583,sliding,2174,1775,0,1775,1,-0.198494539333308,-0.198494539333308,0,0,6684,748,1,748,1,-0.005059042567812475,-0.005059042567812475,0,0
70,9,0.12266346547167428,9.72019540016682,10.26337344782464,9.816004801792488,10.318689031644116,0.1106311676389535,0.3872090867363373,-0.11063116763895352,-2.395709087784628e-16,2.1654920027627846e-15,-0.8660254037844387,-0.5,0.0002336026306821253,0.0002336026306821253,sliding,2247,1304,1,1411,0,-0.20555146606090663,-0.13666234617831857,0,0,6685,737,1,2741,0,-0.40289350516582656,-0.5008808763557674,0,0
