level,n_elem_target,n_elem_actual,n_c,h_eff,err_l2,ref_l2,rel_l2,rate,err_node_l2,ref_node_l2,rel_node_l2,gap_shift_rel,min_gap,final_cone_margin_abs,adjoint_rel,delassus_sym_rel,delassus_min_eig,patch_all_inf,soc_res_inf,max_friction_power_pos,n_open,n_sticking,n_sliding,n_other_active,contact_ok,t_build_s,t_solve_s,t_total_s,n_acc,n_rej
0,40,4284,15,3.055662e-01,5.675307e-02,4.448553e-03,12.757647,,8.273748e-02,7.011419e-03,11.800389,5.467645e-01,-8.051185e-12,3.357314e-13,5.965130e-16,6.265704e-02,3.772277e-02,6.661338e-16,3.552714e-14,4.086525e-14,2,0,13,0,1,2.317,174.436,176.754,1,0
1,50,6644,19,2.453665e-01,6.487451e-04,4.454040e-03,0.145653,20.379,1.157131e-03,7.826958e-03,0.147839,5.087459e-01,-4.774306e-15,3.898418e-09,8.225706e-16,8.719272e-02,4.185318e-02,4.440892e-16,9.744261e-11,0.000000e+00,1,0,18,0,1,3.050,142.058,145.108,1,0
2,60,9462,22,2.056073e-01,8.117379e-04,4.456122e-03,0.182162,-1.268,1.572646e-03,8.541158e-03,0.184126,5.560295e-01,-2.744335e-15,1.175085e-09,6.463253e-16,7.807320e-02,8.348414e-02,7.771561e-16,3.197683e-11,0.000000e+00,0,0,22,0,1,4.661,184.161,188.822,1,0
3,70,13070,25,1.749412e-01,2.436122e-04,4.456989e-03,0.054658,7.452,5.210060e-04,9.119727e-03,0.057130,5.996211e-01,-5.111358e-15,8.382806e-10,9.814015e-16,9.108128e-02,4.153084e-02,6.661338e-16,4.034310e-11,0.000000e+00,0,0,25,0,1,7.752,258.161,265.913,1,0
