level,n_elem_target,n_elem_actual,n_c,h_eff,err_l2,ref_l2,rel_l2,rate,gap_shift_rel,min_gap,final_cone_margin_abs,contact_ok,t_build_s,t_solve_s,t_total_s,n_acc,n_rej
0,20,1028,8,6.237829e-01,1.650116e-03,4.969035e-03,0.332080,,4.275198e-01,-3.688022e-15,1.714433e-10,1,0.559,52.759,53.318,1,0
1,30,2326,11,4.146915e-01,1.399937e-03,5.848478e-03,0.239368,0.403,5.229123e-01,-3.492944e-15,3.425313e-10,1,0.825,65.509,66.334,1,0
2,40,4284,15,3.055662e-01,9.966723e-04,6.972135e-03,0.142951,1.113,5.467645e-01,-4.130129e-15,5.458460e-10,1,1.653,100.680,102.333,1,0
3,50,6644,19,2.453665e-01,2.124681e-03,7.779582e-03,0.273110,-3.450,5.087459e-01,-3.057597e-15,1.185541e-11,1,2.920,140.770,143.690,1,0
0,60,9462,22,2.056073e-01,9.408846e-04,8.555511e-03,0.109974,,5.560295e-01,-3.227103e-15,4.360885e-10,1,5.304,186.652,191.956,1,0
0,70,13070,25,1.749412e-01,9.558584e-04,9.099997e-03,0.105039,,5.996211e-01,-6.133770e-15,3.383093e-09,1,7.925,269.199,277.124,1,0
