node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-1.0000000000000000e+00,1.1500000000000000e+01,7.4019237886466840e+00,1.5775929157396684e-01,-1.0918892253291760e-16,-8.8875765492920928e-04,1.8127860323957634e-16,-8.1457645171182161e-06,4.5796947777732640e+01,2.7478168662741165e+01,3.8984175887435413e-09,1.1363657662300666e-10,-6.3951626082384771e-06,sliding
1,-8.8465471307032695e-01,1.1326982069605490e+01,7.7015996347103908e+00,7.4064416052887411e-02,-9.4976597201396326e-16,-1.4753907265254212e-03,2.9577035265404561e-16,-1.5426306670297037e-05,3.6681179689624450e+01,2.2008707813227346e+01,5.4732396392864757e-10,1.6296771566506244e-11,-9.7003736041087860e-06,sliding
2,-7.5884103261400071e-01,1.1138261548921001e+01,8.0284731649667798e+00,4.1267677267787448e-02,1.0255009767641555e-15,-1.8229472373477071e-03,-2.2117724318704290e-17,-2.1316346610568328e-05,4.1052815932559817e+01,2.4631689559357966e+01,1.7792345374800789e-10,3.5786376167640046e-12,-1.5001646635748327e-05,sliding
3,-6.5720835631901320e-01,1.0985812534478519e+01,8.2925226035449580e+00,4.9815420531149943e-02,-1.3843093338294921e-15,-2.0268154621669622e-03,4.1329786815147429e-16,-2.5931240851852222e-05,3.9803058410139379e+01,2.3881835045904150e+01,1.7947598962564371e-10,5.2134391307021376e-12,-1.7693874758844165e-05,sliding
4,-5.5566869842711841e-01,1.0833503047640678e+01,8.5563303732228437e+00,4.2251843546705871e-03,-5.3623326550064805e-16,-2.1903174012165355e-03,-3.1788807697274990e-16,-3.0014489376391489e-05,3.9900150797802141e+01,2.3940090478636282e+01,4.5002224169365945e-11,2.6103498993470556e-12,-2.0529988324025134e-05,sliding
5,-4.2216008768380298e-01,1.0633240131525705e+01,8.9031959188058813e+00,1.0509428018001864e-01,2.2273849431542203e-15,-2.3490487770979895e-03,4.5124494418846695e-16,-3.5342375210863520e-05,4.0341341180018503e+01,2.4204804707828920e+01,1.8217960473521089e-10,5.2242285590886468e-12,-2.4441579711136153e-05,sliding
6,-2.9465464301593813e-01,1.0441981964523908e+01,9.2344647814154879e+00,1.1014392282728083e-01,2.8029171442653633e-15,-2.4378049672297429e-03,2.4427074946098415e-16,-3.9972592433198842e-05,4.0406486041360701e+01,2.4243891624783366e+01,3.3054448067559861e-11,8.3951909985797901e-13,-2.7688319968917383e-05,sliding
7,-1.6911467796275526e-01,1.0253672016944133e+01,9.5606271781942880e+00,1.7277260262764754e-01,1.1494466100888744e-15,-2.4895849091613391e-03,3.0357660829594124e-18,-4.3051388339287707e-05,4.1600558549808014e+01,2.4960335129957699e+01,-7.2891026547949878e-11,2.1259489749372268e-12,-3.0702202307387834e-05,sliding
8,-9.1321649691308071e-02,1.0136982474536962e+01,9.7627393943554708e+00,6.1034256279933571e-02,2.2051587986182675e-15,-2.4954215887773457e-03,2.0643209364124004e-16,-4.5093361963522045e-05,4.0059194760626774e+01,2.4035516856438701e+01,-6.2637894870931632e-11,1.5807158767787211e-13,-3.0966921759649309e-05,sliding
9,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,-2.9462968141449797e-15,-2.4934773590878541e-03,-6.5052130349130266e-16,-4.6296873137648478e-05,4.0289723596276069e+01,2.4173834157675049e+01,9.0590646095733973e-11,2.9684573977116793e-12,-3.1976369521383863e-05,sliding
10,9.1498570642437160e-02,9.8627521440363441e+00,1.0237720259758946e+01,6.2153581647885682e-02,-4.7743063634768484e-15,-2.4694873502359724e-03,4.7054374285870892e-16,-4.7143209606749850e-05,4.0346116759904056e+01,2.4207670055800577e+01,1.4185630448082520e-10,4.6818947767544827e-12,-3.2606493243761386e-05,sliding
11,1.6911467796275592e-01,9.7463279830558669e+00,1.0439372821805714e+01,1.7277260262764907e-01,-3.0490512852372664e-15,-2.4397571054861483e-03,-4.9960036108132044e-16,-4.7692086484042804e-05,4.1233803796478327e+01,2.4740282277999707e+01,-1.1271339417362469e-10,4.0672718296318840e-12,-3.3711876629771245e-05,sliding
12,2.9465464301593736e-01,9.5580180354760937e+00,1.0765535218584510e+01,1.1014392282728237e-01,3.7435332611579497e-15,-2.3539107403965300e-03,6.3783613807322226e-16,-4.6967815914262856e-05,4.0840208897529500e+01,2.4504125338682677e+01,-1.6497736510245886e-10,3.9361675972441250e-12,-3.2883007087064913e-05,sliding
13,4.2216008768380342e-01,9.3667598684742952e+00,1.1096804081194119e+01,1.0509428018002018e-01,3.3537942462829139e-15,-2.2247629065598401e-03,5.4643789493269423e-17,-4.5486936580908278e-05,4.0446031506158498e+01,2.4267618903743379e+01,-4.8281378894898808e-11,1.7892172709513574e-12,-3.1538846915549316e-05,sliding
14,5.5566869842711797e-01,9.1664969523593225e+00,1.1443669626777154e+01,4.2251843546705871e-03,4.7830457260393929e-16,-2.0252612678404599e-03,-3.8527695946511797e-16,-4.2253487477115284e-05,4.0004622388529988e+01,2.4002773433155120e+01,-3.7129410657144035e-11,9.9833948269532815e-13,-2.8977168190681580e-05,sliding
15,6.6196402489295147e-01,9.0070539626605726e+00,1.1719832985846072e+01,4.4785088300303144e-02,-2.7909318302681719e-15,-1.8250702968786829e-03,-7.7238562767867336e-16,-3.8697681622604577e-05,4.2753925772257233e+01,2.5652355464077147e+01,-7.2280670337931952e-10,1.8353281057157050e-11,-2.8362476703392523e-05,sliding
16,7.6026692697338061e-01,8.8595996095399290e+00,1.1975231417248228e+01,4.4798278325681937e-02,-1.0374730588513792e-15,-1.6020211884564123e-03,-7.1828393927164669e-19,-3.4153274180647543e-05,3.2016386942131810e+01,1.9209832165455051e+01,-1.7596590851098881e-10,4.3584975026169420e-12,-1.8745104711743106e-05,sliding
17,9.0226497429103980e-01,8.6466025385634406e+00,1.2344153166042862e+01,1.4356352253559765e-01,-2.3037127760971998e-15,-1.1460756281112816e-03,-7.8496237287950521e-17,-2.6044292287753269e-05,6.6070818390098950e+01,3.9642491033126582e+01,9.3278629265114432e-10,3.0774039303060073e-11,-2.9498874956611054e-05,sliding
18,9.4318757379202656e-01,8.5852186393119609e+00,1.2450473198313114e+01,2.1239429813404762e-01,1.9546130462400795e-03,-9.8687927801846195e-04,2.7855275871750598e-06,-2.0388126008687949e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.2926722458592416e-21,-0.0000000000000000e+00,open
