node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-1.0000000000000000e+00,1.1500000000000000e+01,7.4019237886466840e+00,2.6026668533952513e-01,3.7833842264127162e-15,-3.3186575933504263e-04,1.4874620031606303e-16,-1.0994478935906024e-05,5.4168254219870363e+01,3.2500952533702780e+01,-1.7805632523959503e-09,5.2021933590334378e-11,-1.0209458229390764e-05,sliding
1,-8.9615606225228706e-01,1.1344234093378430e+01,7.6717182530022718e+00,8.2703013049947371e-02,-8.9609288471620781e-15,-8.0431343554524307e-04,-1.6511675512431996e-15,-2.2258489685449365e-05,6.6920201798507051e+01,4.0152121078468163e+01,6.3606364619772648e-10,2.4322875086501006e-11,-2.5535016367828502e-05,sliding
2,-7.4745379326413475e-01,1.1121180689896203e+01,8.0580580806346518e+00,1.7178857436779920e-02,-5.5362083908662172e-17,-1.4626118028257154e-03,3.6815506097984911e-16,-3.9065756611044792e-05,3.5382965295616991e+01,2.1229779177122200e+01,2.4799362563499017e-10,6.1887019008990245e-12,-2.3695925321133792e-05,sliding
3,-5.7822319546785383e-01,1.0867334793201781e+01,8.4977320710022699e+00,6.0881881771693630e-03,5.3505673973320720e-16,-1.8662796705419616e-03,7.8629584136322278e-16,-5.0467725055953289e-05,4.0784596556048051e+01,2.4470757933695236e+01,-6.6407324084138963e-11,2.4114056092738268e-12,-3.5285242380243390e-05,sliding
4,-4.1628519202640002e-01,1.0624427788039601e+01,8.9184593454575634e+00,1.5892476438126443e-01,1.7938693388636997e-15,-2.1205907985029060e-03,6.5385188746035286e-16,-5.8089758087288398e-05,3.8459345836950263e+01,2.3075607502314909e+01,-1.4475176612904761e-10,4.4086874219192264e-12,-3.8298755929334006e-05,sliding
5,-2.8562259441261884e-01,1.0428433891618928e+01,9.2579307320315589e+00,9.8904532863818131e-02,5.1026515032299191e-15,-2.2747435890504058e-03,5.6596712643791084e-16,-6.3391338550227637e-05,4.5064863768715547e+01,2.7038918261536573e+01,-3.0724578437002492e-10,8.4815823792073193e-12,-4.8972377758542781e-05,sliding
6,-1.7579190491770658e-01,1.0263687857376560e+01,9.5432792336848227e+00,1.6990735504981269e-01,3.7489381959386657e-15,-2.4056908805889518e-03,1.7044766911431045e-16,-6.7451883818108396e-05,4.0034234807114458e+01,2.4020540884229952e+01,3.8721026385246660e-11,1.6931786651852364e-12,-4.6292306656320037e-05,sliding
7,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,-5.0402356087560240e-15,-2.4598812871095611e-03,-6.7870632481118950e-16,-7.0870668355717807e-05,3.6081434423312935e+01,2.1648860653953751e+01,3.4010128047157195e-11,1.3418432160954081e-12,-4.3836263533871549e-05,sliding
8,1.7579190491770613e-01,9.7363121426234400e+00,1.0456720766315176e+01,1.6990735504981117e-01,4.5650041098935508e-16,-2.4699350955566819e-03,-2.6701925933458343e-16,-7.0853203632331382e-05,4.3075747471884192e+01,2.5845448483141464e+01,-1.0949463558063144e-11,1.0735925923624325e-12,-5.2320937838427211e-05,sliding
9,2.8562259441261850e-01,9.5715661083810719e+00,1.0742069267968441e+01,9.8904532863817243e-02,-2.5822363618663441e-15,-2.4429184019790621e-03,-3.2337670965483213e-16,-7.1496889385045179e-05,3.7281131404786187e+01,2.2368678842985805e+01,-1.1409184708099929e-10,3.1714890282910460e-12,-4.5694027340758760e-05,sliding
10,3.2831644968345852e-01,9.5075253254748127e+00,1.0852991157718572e+01,1.9982507295404520e-01,3.0593784278760022e-15,-2.4349993330286023e-03,3.4443468864456435e-16,-6.9494830779333832e-05,4.0896233587889441e+01,2.4537740152798417e+01,-6.4751759509817930e-11,1.9883901184817403e-12,-4.8721317132171174e-05,sliding
11,4.1643860380587361e-01,9.3753420942911898e+00,1.1081939230037229e+01,1.5894088392684236e-01,7.5657312310846189e-17,-2.2604665036718157e-03,-6.3426110676442327e-16,-6.4056544320442667e-05,4.2705707523240250e+01,2.5623424513748198e+01,1.9594992295424163e-10,5.2129885420855161e-12,-4.6895657943040820e-05,sliding
12,5.7822319546785494e-01,9.1326652067982170e+00,1.1502267928997732e+01,6.0881881771629714e-03,-1.5364098197795975e-15,-2.0810384041111156e-03,-6.4839888406094417e-16,-5.7066579608802284e-05,3.6831921665716614e+01,2.2099152999371331e+01,5.8637539268602268e-11,1.3939054141679074e-12,-3.6032087826449309e-05,sliding
13,7.5990738882243836e-01,8.8601389167663420e+00,1.1974297309731192e+01,2.4664333338576478e-03,2.0075809924263321e-16,-1.7748178212337290e-03,6.9204502117655753e-16,-4.7360509329529311e-05,4.2315495967713780e+01,2.5389297580227097e+01,4.0116887589647376e-10,1.1576066614910966e-11,-3.4355716140529757e-05,sliding
14,9.3155618467912915e-01,8.6026657229813068e+00,1.2420253962953900e+01,1.0444626041122397e-01,2.0212535036698906e-15,-1.1614449816808154e-03,-1.3357342268154815e-16,-3.1211101269935075e-05,2.5013518752911654e+01,1.5008111251605740e+01,1.4125234315542912e-10,5.2217374585431550e-12,-1.3383419432694823e-05,sliding
