node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-8.3333333333333326e-01,1.1250000000000000e+01,7.8349364905389036e+00,0.0000000000000000e+00,4.5724030356507252e-15,-9.0669903225967124e-04,-4.1225771169224601e-16,-1.2272097398988584e-05,3.9923978860851946e+01,2.3954387316702118e+01,-1.9095125480816932e-10,5.3062282148299318e-12,-8.3991592652475766e-06,sliding
1,-6.6666666666666630e-01,1.1000000000000000e+01,8.2679491924311233e+00,0.0000000000000000e+00,3.4884981964687992e-15,-1.4667935445715305e-03,1.4322649511712415e-16,-2.0082260684892626e-05,3.9628503575375028e+01,2.3777102145149762e+01,7.5253581144352211e-11,3.4094022600389467e-12,-1.3642798960291920e-05,sliding
2,-5.0000000000000000e-01,1.0750000000000000e+01,8.7009618943233420e+00,0.0000000000000000e+00,-1.2549824648854090e-15,-1.8105513762034227e-03,2.8334946151550855e-17,-2.5415569601274428e-05,4.0329579274209408e+01,2.4197747564487667e+01,3.7978509226377355e-11,6.9619104836324785e-13,-1.7571415354837287e-05,sliding
3,-3.3333333333333337e-01,1.0500000000000000e+01,9.1339745962155607e+00,0.0000000000000000e+00,-7.2973186852900960e-15,-2.0305667329577936e-03,1.9836918701632636e-16,-2.9032460419229356e-05,3.9789984152361647e+01,2.3873990491337054e+01,7.9932505059332470e-11,1.6282263065526024e-12,-1.9803448113965741e-05,sliding
4,-1.6666666666666663e-01,1.0250000000000000e+01,9.5669872981077813e+00,0.0000000000000000e+00,-7.3004325059817541e-16,-2.1455925944569298e-03,1.5464576979553300e-16,-3.0994103131825645e-05,3.9878721916574300e+01,2.3927233149926678e+01,1.7902124227475724e-11,9.1543223220185016e-13,-2.1188660911658993e-05,sliding
5,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,7.2629759596328538e-17,-2.1757223263538837e-03,-3.8604201550494581e-17,-3.1550041459653291e-05,4.0086452153751445e+01,2.4051871292262319e+01,-1.1453948900452815e-11,8.9255864408841886e-13,-2.1681072470089169e-05,sliding
6,1.6666666666666696e-01,9.7500000000000000e+00,1.0433012701892221e+01,0.0000000000000000e+00,-7.8439341351973632e-16,-2.1452098698913429e-03,-3.6512498685875409e-16,-3.0983640807602353e-05,3.9863573423737186e+01,2.3918144054394030e+01,-1.5171863765317539e-10,3.2921148375021453e-12,-2.1173462404738128e-05,sliding
7,3.3333333333333370e-01,9.5000000000000000e+00,1.0866025403784439e+01,0.0000000000000000e+00,1.7359607731348253e-16,-2.0295505822550100e-03,7.8360712016389833e-17,-2.9015205309051978e-05,3.9802379202478356e+01,2.3881427521482475e+01,4.5368153678282397e-12,5.1897150677263812e-13,-1.9797843503115951e-05,sliding
8,5.0000000000000044e-01,9.2500000000000000e+00,1.1299038105676660e+01,0.0000000000000000e+00,-3.3903343004812064e-15,-1.8084313217128355e-03,-2.2988474188481711e-18,-2.5385210542853000e-05,4.0344811744462497e+01,2.4206887046745329e+01,-6.7831962269337964e-11,1.7604031402291817e-12,-1.7557054979105464e-05,sliding
9,6.6666666666666763e-01,8.9999999999999982e+00,1.1732050807568879e+01,2.5121479338940403e-15,7.6416154580273655e-15,-1.4637547791743275e-03,1.3373633797608697e-16,-2.0039704266437522e-05,3.9633182812046464e+01,2.3779909687367919e+01,-1.4004086779095815e-10,3.0496954221644430e-12,-1.3615495931927023e-05,sliding
10,8.3333333333333459e-01,8.7499999999999982e+00,1.2165063509461099e+01,2.5121479338940403e-15,-1.1703332616306359e-15,-9.0109393604093611e-04,-2.4232257368229926e-16,-1.2196198141060655e-05,4.0077954979335949e+01,2.4046772987827847e+01,-2.2627943963016151e-10,4.8083595479711655e-12,-8.3794059432186732e-06,sliding
