node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-1.0000000000000000e+00,1.1500000000000000e+01,7.4019237886466840e+00,3.7821841755489410e-01,4.8543936466711353e-15,-1.7787105722174359e-03,8.7829862740335107e-16,-6.8520736836182091e-05,5.3545608576379827e+01,3.2127365145580740e+01,2.4715518520679325e-10,8.1164871806127782e-12,-6.2896878068007629e-05,sliding
1,-8.0688042597996712e-01,1.1210320638969950e+01,7.9036631598548173e+00,2.2156591323589053e-01,-3.4208746946262636e-15,-2.1297939173390889e-03,2.3605114174082842e-17,-7.8220139830076737e-05,3.8287136214431840e+01,2.2972281728663244e+01,-4.1424641494813841e-12,3.8431944015054826e-13,-5.1339859686627317e-05,sliding
2,-5.5815999906461300e-01,1.0837239998596919e+01,8.5498577843012402e+00,2.6328653430468058e-02,-3.3116788263041685e-15,-2.4490034624963654e-03,-5.2064875924367538e-16,-8.5106323609861735e-05,3.9867313796592661e+01,2.3920388277946579e+01,9.0167873167956714e-12,1.5584403507443909e-13,-5.8165037304470422e-05,sliding
3,-3.3074987672064915e-01,1.0496124815080973e+01,9.1406866133840392e+00,1.6398559411434158e-01,5.9326240343920947e-16,-2.6336940072189969e-03,1.3077307791341253e-15,-9.0757363268822154e-05,3.8519127983371611e+01,2.3111476789878196e+01,1.4476952969744161e-10,4.1241131953305805e-12,-5.9929619848512207e-05,sliding
4,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,5.5773301412094305e-16,-2.6723988625250729e-03,4.0402624551082872e-17,-9.1845943451252600e-05,4.2422524843883970e+01,2.5453514906338246e+01,-7.8657080848643091e-12,1.0864954414138185e-12,-6.6794345449233073e-05,sliding
5,3.2560837064859638e-01,9.5115874440271053e+00,1.0845955361999632e+01,1.5994254929799434e-01,-5.3429483060085659e-16,-2.5165500495097594e-03,4.4234601604461327e-17,-8.5534984229502679e-05,3.7725529106170654e+01,2.2635317463694253e+01,8.1392670381319476e-12,1.0546353236600460e-13,-5.5317472065339271e-05,sliding
6,5.5815999906461355e-01,9.1627600014030790e+00,1.1450142215698762e+01,2.6328653430465632e-02,2.9722995982875422e-15,-2.2253829239071571e-03,5.6093571085789884e-16,-7.5648970492290973e-05,4.4715671201544914e+01,2.6829402720530503e+01,3.9644376670366910e-10,1.1252167974291378e-11,-5.7989048420891520e-05,sliding
7,8.1292633130264513e-01,8.7806105030460326e+00,1.2112044562940127e+01,2.1215440066651170e-01,-1.2389106547942946e-15,-1.6165452846689230e-03,1.4777675610977425e-16,-5.6622766705028798e-05,2.1465393421123469e+01,1.2879236052705281e+01,-3.1199931527225999e-11,1.2567304163902780e-12,-2.0835942238609344e-05,sliding
