label,dx,dy,status,level,n_elem_target,n_elem_actual,n_c,h_eff,err_l2,ref_l2,rel_l2,rate,err_node_l2,ref_node_l2,rel_node_l2,gap_shift_rel,min_gap,final_cone_margin_abs,adjoint_rel,delassus_sym_rel,delassus_min_eig,patch_all_inf,soc_res_inf,max_friction_power_pos,n_open,n_sticking,n_sliding,n_other_active,contact_ok,t_build_s,t_solve_s,t_total_s,n_acc,n_rej,max_delta
center,0.0,0.0,baseline_reused,4,60,9462,22,2.056073e-01,4.925488e-04,4.456122e-03,0.110533,4.884,9.460275e-04,8.541158e-03,0.110761,5.560295e-01,-4.076031e-15,1.071584e-09,6.463253e-16,7.807320e-02,8.348414e-02,7.771561e-16,3.246810e-11,0.000000e+00,0,0,22,0,1,4.719,196.097,200.817,1,0,0.16417738502685247
x_plus_005,0.05,0.0,ok,,60,9462,24,0.20560729705021638,0.0008651176960276555,0.004456466265350021,0.19412638725757464,,0.0016728734886098076,0.008747417952462271,0.19124197536930518,0.5671581592680439,-4.949911508347917e-15,2.3213075905914593e-10,6.993168086074165e-16,0.1130392173734214,0.077346596817089,6.661338147750939e-16,5.683416700226948e-12,0.0,0,0,24,0,1,5.3327132260019425,170.7493130570001,176.08202628300205,1,0,0.18705553252907017
x_minus_005,-0.05,0.0,ok,,60,9462,21,0.20560729705021638,0.0004284157434196258,0.004455762654708875,0.09614869027345378,,0.0008014329707710885,0.008305413150474922,0.09649525631669038,0.5491476905879571,-5.155598170603071e-15,6.038334277036483e-10,8.588137983204302e-16,0.0839488821946127,0.0884116195458373,5.551115123125783e-16,2.297495527159299e-11,0.0,0,0,21,0,1,4.791629999002907,163.20283158800157,167.99446158700448,1,0,0.17200566724249908
y_plus_005,0.0,0.05,ok,,60,9462,22,0.20560729705021638,0.00029032314056072586,0.004456412612649109,0.06514727557692276,,0.0005501556270845609,0.008768298952890042,0.06274371232555077,0.5603389132239042,-6.0060718001979306e-15,7.872742457948334e-10,7.306852858535668e-16,0.06286101353673917,0.08055199700619677,6.661338147750939e-16,1.1474154959500993e-11,0.0,0,0,22,0,1,4.764083157999266,149.40787873200316,154.17196189000242,1,0,0.16875426233984903
y_minus_005,0.0,-0.05,ok,,60,9462,22,0.20560729705021638,0.0008586833103029925,0.004455706370435733,0.19271541679687032,,0.0015883653616378442,0.00830939749225962,0.19115289202585872,0.5644741683515115,-3.753298786353173e-15,9.187317573378095e-11,9.155848193250312e-16,0.10992000906801276,0.08574134251798028,6.661338147750939e-16,3.263130506544106e-12,3.4368014926532615e-21,1,0,21,0,1,4.506475968002633,158.1144675780015,162.62094354600413,1,0,0.1714156331276643
