node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-9.2304046545782026e-01,1.1384560698186730e+01,7.6018705245775458e+00,1.5173998566320335e-01,-5.0723314437561839e-15,-6.7367114884607266e-04,2.7226349430184427e-16,-1.6303413432508880e-05,6.9414554429707096e+01,4.1648732661140805e+01,-3.3165505897159164e-09,1.0241466348997155e-10,-1.9400471643274695e-05,sliding
1,-8.4480345130264456e-01,1.1267205176953967e+01,7.8051362499014196e+00,9.8852119531352506e-02,-2.6280099464837234e-15,-1.1609826079944244e-03,2.9507239750550807e-16,-2.8814915081899309e-05,3.3926195734260936e+01,2.0355717440543938e+01,1.2622791700778180e-11,1.8867981231540614e-12,-1.6758521985154581e-05,sliding
2,-7.6873128138172775e-01,1.1153096922072592e+01,8.0027775449189811e+00,4.8356128061888319e-02,4.0455872995860879e-15,-1.4852130427791660e-03,-3.6247250318442725e-16,-3.7416113070263231e-05,3.9079367775161458e+01,2.3447620665131772e+01,-3.4898306466857321e-11,4.3577870856403004e-13,-2.5066252172434606e-05,sliding
3,-6.9057632607566721e-01,1.1035864489113500e+01,8.2058300750990387e+00,4.4277375196819874e-02,-7.0817073969984128e-16,-1.7084773426968623e-03,6.5437699746720424e-16,-4.3492027913466267e-05,4.0557668466558184e+01,2.4334601079996471e+01,-6.1561422626255080e-11,1.9518774723055110e-12,-3.0238889983836371e-05,sliding
4,-6.1627790698707796e-01,1.0924416860480617e+01,8.3988630302742617e+00,8.8722235506452141e-02,5.7486567589526416e-15,-1.8816514677107259e-03,-4.3645490189645961e-17,-4.8613442358079187e-05,4.2245895865311127e+01,2.5347537519369759e+01,-1.8308199400962621e-10,3.9229219353920836e-12,-3.5206601546203753e-05,sliding
5,-5.0838454890647766e-01,1.0762576823359716e+01,8.6791781972664932e+00,7.8963442860800800e-02,1.1472909175432539e-16,-2.1048325599986963e-03,-1.2103446483312198e-15,-5.5664854371698830e-05,3.5285453986326416e+01,2.1171272391693797e+01,1.0205170042354439e-10,2.6937270207304535e-12,-3.3671308415634377e-05,sliding
6,-3.9453889012749976e-01,1.0591808335191249e+01,8.9749578951060034e+00,2.9038270822397461e-02,1.1453362039143863e-15,-2.2603487275635707e-03,-4.8443508319367945e-17,-6.0133107860291731e-05,4.1264322881923711e+01,2.4758593728990757e+01,1.6346746178896865e-10,5.7920380831503662e-12,-4.2537462490701250e-05,sliding
7,-3.0326155626517803e-01,1.0454892334397767e+01,9.2121033648494564e+00,5.1257768769323676e-02,-3.2493488920760792e-15,-2.3416160069668667e-03,5.4874840890690185e-16,-6.3072577041126343e-05,4.1355686303426971e+01,2.4813411782117019e+01,-6.0836669035779778e-11,1.0749699449374684e-12,-4.4715595036593364e-05,sliding
8,-2.2324064463727544e-01,1.0334860966955913e+01,9.4200037917607151e+00,2.8388771061782028e-02,-4.3012468586844932e-15,-2.3989649281466268e-03,4.6788236533843591e-16,-6.5116172642166640e-05,3.7556056543621146e+01,2.2533633926215710e+01,-4.3023362650274066e-11,1.5056267302543945e-12,-4.1922971342709875e-05,sliding
9,-1.3764873863321925e-01,1.0206473107949829e+01,9.6423780866342437e+00,6.9949414198545556e-02,-6.0124431475183648e-15,-2.4247659438968588e-03,-6.9334051304090205e-16,-6.6406683262277216e-05,3.8035252333998613e+01,2.2821151400508313e+01,-1.0914646964010899e-10,3.5538537275029750e-12,-4.3299342078115129e-05,sliding
10,-6.4831490772451983e-02,1.0097247236158678e+01,9.8315628460775208e+00,1.0767378404617566e-01,-8.7027616802604224e-16,-2.4478154789218192e-03,-3.4924047211977579e-16,-6.7188728184902738e-05,4.3631138012328087e+01,2.6178682807409007e+01,-1.2157386208855314e-11,1.5373793199542018e-12,-5.0254640096736869e-05,sliding
11,3.3373449286271395e-03,9.9949939826070597e+00,1.0008670676468148e+01,1.2399753391593504e-02,-2.2727379374900756e-15,-2.4671994932035143e-03,-6.4315899899288669e-17,-6.7611890101042108e-05,3.8038990977965582e+01,2.2823394586871125e+01,-9.1777252464453341e-11,3.0761675946366001e-12,-4.4089509901150001e-05,sliding
12,1.2266346547167428e-01,9.8160048017924879e+00,1.0318689031644116e+01,1.1063116763895352e-01,-5.6940373744510295e-15,-2.4513409443816642e-03,-4.9221084564947393e-16,-6.7490888196146439e-05,4.2213523320631097e+01,2.5328113992286166e+01,9.2491347913892241e-11,2.9825851777226102e-12,-4.8840483133503940e-05,sliding
13,2.1328690299384445e-01,9.6800696455092332e+00,1.0554135628861530e+01,8.2217688647411562e-03,2.0337328826211531e-15,-2.4416132778933603e-03,-7.2019985500644201e-17,-6.6755812178645349e-05,3.9410608214114156e+01,2.3646364928513112e+01,-4.4618531092055491e-11,5.8494569591752429e-13,-4.5100922739300799e-05,sliding
14,2.8185574432734684e-01,9.5772163835089792e+00,1.0732282704370162e+01,5.2399599220044668e-02,-2.1717053054545057e-18,-2.4003501769124694e-03,-1.9689280858926211e-16,-6.6118423191096023e-05,4.1684962006597331e+01,2.5010977204088316e+01,-1.2991918652005552e-10,4.1473420461788694e-12,-4.7248182148650484e-05,sliding
15,3.5276036099222230e-01,9.4708594585116668e+00,1.0916498302202301e+01,4.7577491663037388e-02,-5.5250942709861306e-16,-2.3594858107385285e-03,-1.3703669597594495e-16,-6.5279481921133340e-05,3.7729895433426492e+01,2.2637937260028366e+01,2.7529978297025082e-11,2.0074051160109934e-13,-4.2222651888507784e-05,sliding
16,4.2906070997987689e-01,9.3564089350301849e+00,1.1114732423825082e+01,1.6441003698824494e-01,-2.7512178334479313e-15,-2.2897538127368768e-03,-9.2730117746790686e-16,-6.2773964980005492e-05,3.4245234239738664e+01,2.0547140543808261e+01,3.4937386317324126e-11,6.9070779500970917e-13,-3.6852156598179166e-05,sliding
17,4.8538523738313044e-01,9.2719221439253037e+00,1.1261067838587193e+01,5.3035149854241976e-03,1.9753214905784966e-15,-2.1708607618362561e-03,1.0526096964374912e-16,-5.9655531529217156e-05,4.3405163348925569e+01,2.6043098009342273e+01,1.3066880910628242e-11,1.0793744186597656e-12,-4.4388995840423154e-05,sliding
18,5.5833872572175935e-01,9.1624919114173604e+00,1.1450606561175027e+01,4.4952516027912844e-02,1.5161483180037294e-15,-2.0855069220286279e-03,-6.9825330413497699e-16,-5.7095274199254144e-05,4.5010623268415166e+01,2.7006373960950768e+01,9.8332009201840265e-11,1.4620374417002012e-12,-4.4055323612230896e-05,sliding
