node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-1.0000000000000000e+00,1.1500000000000000e+01,7.4019237886466840e+00,3.7821841755489410e-01,-3.8122848393102196e-15,-1.7787105720541907e-03,-1.2849455928529846e-15,-6.8520751481895335e-05,5.3545608878849450e+01,3.2127365327610072e+01,-3.0040325782465516e-10,8.3814057790415115e-12,-6.2896891868035169e-05,sliding
1,-8.0688042597996712e-01,1.1210320638969950e+01,7.9036631598548173e+00,2.2156591323589053e-01,9.3675067702747583e-16,-2.1297939171527258e-03,-5.0039318391995047e-17,-7.8220158346024017e-05,3.8287136131806925e+01,2.2972281679039209e+01,4.4945380750505137e-11,1.5004350389456665e-12,-5.1339871728683241e-05,sliding
2,-5.5815999906461300e-01,1.0837239998596919e+01,8.5498577843012402e+00,2.6328653430468058e-02,6.0223680626524807e-16,-2.4490034623025937e-03,-3.6835043538233927e-16,-8.5106347107947387e-05,3.9867313912900705e+01,2.3920388347579863e+01,1.6056134199970984e-10,3.9869794303599302e-12,-5.8165053533315201e-05,sliding
3,-3.3074987672064915e-01,1.0496124815080973e+01,9.1406866133840392e+00,1.6398559411434158e-01,2.5604388251910831e-15,-2.6336940070103990e-03,-4.6573598385009352e-16,-9.0757385188785678e-05,3.8519127943470316e+01,2.3111476766120330e+01,-3.8141934055602178e-11,1.1520254505696997e-12,-5.9929634261270100e-05,sliding
4,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,7.8756904548010969e-16,-2.6723988623237726e-03,4.5592226012320519e-16,-9.1845966315701107e-05,4.2422524911370807e+01,2.5453514946672716e+01,1.4976819784351392e-10,4.5029044909282742e-12,-6.6794362183094196e-05,sliding
5,3.2560837064859638e-01,9.5115874440271053e+00,1.0845955361999632e+01,1.5994254929799434e-01,2.4806545706468341e-15,-2.5165500493201094e-03,-1.3313155645174740e-16,-8.5535005524617507e-05,3.7725529041362357e+01,2.2635317424724590e+01,9.2821750286020688e-11,2.9027878208338995e-12,-5.5317485742151111e-05,sliding
6,5.5815999906461355e-01,9.1627600014030790e+00,1.1450142215698762e+01,2.6328653430465632e-02,7.7448626938786402e-16,-2.2253829237342524e-03,4.2790071616213843e-16,-7.5648988992642113e-05,4.4715671520714110e+01,2.6829402912048689e+01,3.7977798683641595e-10,9.7817402324765572e-12,-5.7989063016363757e-05,sliding
7,8.1292633130264513e-01,8.7806105030460326e+00,1.2112044562940127e+01,2.1215440066651170e-01,-5.1726568879179978e-16,-1.6165452845402807e-03,-4.3420264128971042e-16,-5.6622781562448563e-05,2.1465392727641206e+01,1.2879235636589348e+01,-4.6256332097982522e-12,1.3391004152935694e-13,-2.0835947032625764e-05,sliding
