node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-9.8809971940356123e-01,1.1482149579105341e+01,7.4328416245727214e+00,5.5429581121478430e-02,1.1974821493671733e-15,-6.4412715840506541e-04,-5.3960403311424654e-16,-1.5494714366143087e-05,5.3463986032550473e+01,3.2078391619872285e+01,-3.4200553500340902e-10,4.3857757535366623e-12,-1.4201300442148545e-05,sliding
1,-8.9719836706570844e-01,1.1345797550598563e+01,7.6690102656615426e+00,2.1516707048713894e-02,1.0161087346428431e-15,-1.1086271082668441e-03,5.9399710085512869e-16,-2.7011903892973906e-05,3.6872539806399956e+01,2.2123523884373686e+01,-5.3371351782516285e-10,1.3467059917321195e-11,-1.7074242883960421e-05,sliding
2,-7.8565725906743167e-01,1.1178485888601148e+01,7.9588025649398570e+00,5.5039501535040419e-02,-3.6845526629747383e-15,-1.4943984974238155e-03,-7.0073341660453758e-17,-3.7538979344158780e-05,3.8596738033508373e+01,2.3158042820190925e+01,-8.5901064039717312e-11,1.8731018958068765e-12,-2.4837979745094047e-05,sliding
3,-7.0615674304931875e-01,1.1059235114573978e+01,8.1653509643968292e+00,6.9218141163245622e-02,2.6966276434059466e-15,-1.7200355147517974e-03,-2.9572800100668289e-16,-4.4838958638157713e-05,4.7042283741723814e+01,2.8225370245195830e+01,-1.6154189097505878e-10,3.9799472344458515e-12,-3.6159891684886380e-05,sliding
4,-6.3856280001153110e-01,1.0957844200017297e+01,8.3409651798348765e+00,1.0025845855954243e-01,4.4408920985006262e-16,-1.9077117770355781e-03,3.5495762687638710e-16,-4.9965208638506489e-05,3.5644825057060579e+01,2.1386895034184853e+01,5.1493032060534460e-11,8.4054094912632896e-13,-3.0531447786082414e-05,sliding
5,-5.5246920185916104e-01,1.0828703802788741e+01,8.5646429091443608e+00,1.2114413872354826e-02,-3.4746782274358567e-15,-2.0729431969134368e-03,-6.4942016065987207e-18,-5.5324538868673195e-05,4.2045399526849373e+01,2.5227239716437481e+01,-3.2785862913442543e-10,1.0105594442274186e-11,-3.9876725835468046e-05,sliding
6,-4.7634929426427630e-01,1.0714523941396415e+01,8.7624082302770425e+00,1.2870439705327599e-01,5.9674487573602164e-16,-2.1917012531301543e-03,3.0064926243023038e-16,-5.9381326044393720e-05,3.7529283044292782e+01,2.2517569826455816e+01,1.1985434866801370e-10,3.3705032012895411e-12,-3.8203518731204997e-05,sliding
7,-3.9773256122464240e-01,1.0596598841836963e+01,8.9666604942016299e+00,3.5925629923018558e-02,-3.5598152030302810e-15,-2.2940260883900590e-03,-2.3806538608939914e-16,-6.2842944243115479e-05,3.8571494066990041e+01,2.3142896440112725e+01,8.1300299825670663e-11,1.0738781737699764e-12,-4.1553364303148561e-05,sliding
8,-3.1843345240927423e-01,1.0477650178613912e+01,9.1726856223963562e+00,7.4261533772681937e-02,4.4486983541425218e-15,-2.3627740287277565e-03,9.6058618416321184e-17,-6.5153848479031546e-05,4.3672852569299501e+01,2.6203711541854549e+01,-2.7484858833304315e-10,8.6490787272452406e-12,-4.8779218611035465e-05,sliding
9,-2.4704634668460579e-01,1.0370569520026908e+01,9.3581547635769819e+00,6.5174842849736736e-02,2.8570895649338013e-15,-2.4244391024811269e-03,1.7793028199908009e-16,-6.7326807119519723e-05,3.5452316591770561e+01,2.1271389955025477e+01,3.6859404417555197e-11,1.5002636864974939e-12,-4.0918136247602559e-05,sliding
10,-1.6095789430015173e-01,1.0241436841450227e+01,9.5818191237892538e+00,5.1970377770083412e-02,5.3077921043181771e-15,-2.4483360503789468e-03,7.9307017225062337e-16,-6.8672295140618863e-05,4.2746447979543625e+01,2.5647868787878092e+01,-1.5191758961918822e-10,4.5973437624164629e-12,-5.0322800432258029e-05,sliding
11,-9.1615760140039804e-02,1.0137423640210059e+01,9.7619752729951106e+00,1.0448261856494387e-01,-2.1311077902375075e-15,-2.4766640101981283e-03,1.1163682486574865e-17,-6.9496234417355292e-05,4.2000113245349546e+01,2.5200067947171924e+01,3.7804426256116130e-11,1.4507465447120358e-12,-5.0037423696855469e-05,sliding
12,2.6401054945144331e-03,9.9960398417582290e+00,1.0006859195280761e+01,4.7330812322430721e-03,-2.7920154117280424e-16,-2.4912119812093786e-03,4.4143862579601250e-16,-7.0316364520433405e-05,3.5134028025558031e+01,2.1080416815401961e+01,-6.7142735815650667e-11,2.4720865612727667e-12,-4.2351379229556518e-05,sliding
