step,t_dless,t_phys_s,dt_dless,min_cone_margin_MPa,max_cone_violation_MPa,max_positive_friction_power,max_abs_normal_power_closed,p_contact_total,p_contact_pert,p_offset,p_contact_metric,p_contact_metric_mismatch,p_normal_total,p_tangent_total,p_tangent_pert,p_tangent_offset,p_cross_metric,p_friction_lumped,d_fric_rate,d_fric_lumped_rate,friction_injection_rate,D_fric,D_fric_lumped,W_contact_total,W_contact_pert,W_offset_external,W_tangent_total,W_tangent_pert,W_tangent_offset,W_normal_total,W_cross_metric,KE,W_elastic,D_vis,bulk_residual_pert,bulk_residual_total,interface_residual_D_fric_plus_W_tangent,coulomb_lumped_residual,endpoint_res_inf,endpoint_res_l2,endpoint_force_res_inf,max_abs_vt,min_gap
0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,nan,nan,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1,1.1021380762353209e-03,3.0611447511099380e-04,1.1021380762353209e-03,-3.1086244689504383e-14,3.1086244689504383e-14,0.0000000000000000e+00,1.9988414466134495e-18,-6.0953562226562716e-03,2.7025215556026813e-03,-8.7978777782589529e-03,-6.0953562226562725e-03,8.6736173798840355e-19,-1.4453513712569548e-18,-6.0953562226562716e-03,2.7025215556026822e-03,-8.7978777782589529e-03,8.6736173798840355e-19,-4.4947219630842774e-03,6.0953562226562716e-03,4.4947219630842748e-03,0.0000000000000000e+00,3.3589620906036879e-06,2.4769021088031740e-06,-3.3589620906036879e-06,1.4892759541382130e-06,-4.8482380447419009e-06,-3.3589620906036879e-06,1.4892759541382134e-06,-4.8482380447419009e-06,-7.9648838990061163e-22,4.7797619865333177e-22,1.4550956436780690e-06,3.3468916591502202e-11,6.7200454400831157e-08,3.3053612857278679e-08,4.8812916575991791e-06,0.0000000000000000e+00,-8.8205998180051388e-07,1.4456028966473393e-18,2.3863396818803605e-18,8.5117098554595340e-15,5.6637392476512286e-03,-4.7384708399333991e-21
2,2.1462911402586418e-03,5.9612384328455975e-04,1.0441530640233209e-03,-3.1086244689504383e-14,3.1086244689504383e-14,0.0000000000000000e+00,3.4615357594538045e-18,-1.1611645553961854e-02,5.1493571601257480e-03,-1.6761002714087602e-02,-1.1611645553961856e-02,1.7347234759768071e-18,-1.6976396027677739e-19,-1.1611645553961856e-02,5.1493571601257480e-03,-1.6761002714087606e-02,0.0000000000000000e+00,-8.5579823276253734e-03,1.1611645553961856e-02,8.5579823276253717e-03,0.0000000000000000e+00,1.2603372170464790e-05,9.2914126982705853e-06,-1.2603372170464788e-05,5.5885575638218816e-06,-1.8191929734286672e-05,-1.2603372170464790e-05,5.5885575638218825e-06,-1.8191929734286672e-05,-1.6397022009866055e-21,9.3080540682192396e-22,5.2870622958199786e-06,2.8525751222323652e-10,3.5486662822086903e-07,5.3656617731188991e-08,1.8245586352017859e-05,0.0000000000000000e+00,-3.3119594721942045e-06,2.6020852139652106e-18,3.5966181724478553e-18,1.6098233857064770e-14,1.0748572913245479e-02,-3.1588886241977289e-22
3,3.2374096531305645e-03,8.9917767841978815e-04,1.0911185128719227e-03,-4.2743586448068527e-14,4.2743586448068527e-14,0.0000000000000000e+00,4.9708182882176320e-18,-1.7131840689334342e-02,7.6028229758476704e-03,-2.4734663665182011e-02,-1.7131840689334342e-02,0.0000000000000000e+00,-2.7387440073606585e-18,-1.7131840689334342e-02,7.6028229758476704e-03,-2.4734663665182011e-02,3.4694469519536142e-18,-1.2619940910682246e-02,1.7131840689334342e-02,1.2619940910682238e-02,0.0000000000000000e+00,2.8284647152734747e-05,2.0845224753019555e-05,-2.8284647152734744e-05,1.2545627476740976e-05,-4.0830274629475723e-05,-2.8284647152734747e-05,1.2545627476740978e-05,-4.0830274629475723e-05,-3.2264656451489542e-21,2.8235943061737501e-21,1.1534021936645622e-05,1.2508940926601703e-09,1.0837026321794735e-06,7.3347986176780863e-08,4.0903622615652500e-05,0.0000000000000000e+00,-7.4394223997151922e-06,8.6736173798840355e-18,1.1383606512641281e-17,3.3306690738754696e-15,1.5799448518264779e-02,-5.9581968138357964e-20
4,4.5374876568549556e-03,1.2602691825558529e-03,1.3000780037243911e-03,-4.2743586448068527e-14,4.2743586448068527e-14,0.0000000000000000e+00,1.4341541162037349e-17,-2.3409213870799053e-02,1.0399519342902499e-02,-3.3808733213701550e-02,-2.3409213870799056e-02,3.4694469519536142e-18,-1.1319311230835197e-17,-2.3409213870799042e-02,1.0399519342902501e-02,-3.3808733213701543e-02,-3.4694469519536142e-18,-1.7233934467816188e-02,2.3409213870799042e-02,1.7233934467816195e-02,0.0000000000000000e+00,5.4637913793444666e-05,4.0251408105777055e-05,-5.4637913793444666e-05,2.4247852108802897e-05,-7.8885765902247576e-05,-5.4637913793444666e-05,2.4247852108802901e-05,-7.8885765902247563e-05,-1.2364749840309397e-20,2.8235943061737501e-21,2.1608351644488193e-05,4.3553239716408115e-09,2.7383965630214967e-06,1.0325142267843157e-07,7.8989017324925998e-05,0.0000000000000000e+00,-1.4386505687667610e-05,2.8912057932946787e-17,3.6159727270910755e-17,3.3306690738754696e-15,2.1495656512232168e-02,-2.6545623664388002e-19
5,6.1633284581221210e-03,1.7118400104088884e-03,1.6258408012671654e-03,3.8857805861880479e-15,0.0000000000000000e+00,0.0000000000000000e+00,2.4737460647394674e-17,-3.0840264396358546e-02,1.3721778136979463e-02,-4.4562042533338009e-02,-3.0840264396358556e-02,1.0408340855860843e-17,-2.1999830871234682e-17,-3.0840264396358529e-02,1.3721778136979463e-02,-4.4562042533337995e-02,-6.9388939039072284e-18,-2.2688589710363079e-02,3.0840264396358529e-02,2.2688589710363111e-02,0.0000000000000000e+00,9.8738421400545225e-05,7.2705242455006460e-05,-9.8738421400545252e-05,4.3856546919950370e-05,-1.4259496832049563e-04,-9.8738421400545225e-05,4.3856546919950377e-05,-1.4259496832049563e-04,-3.9450560186691311e-20,-5.6375583123035330e-21,3.7703136371530552e-05,1.3493603369744389e-08,6.2959823145121707e-06,1.5606536946209811e-07,1.4275103368995771e-04,0.0000000000000000e+00,-2.6033178945538766e-05,2.8912057932946787e-17,4.9344845464080129e-17,2.0354088784794539e-15,2.8171368020323016e-02,-2.3111098531978763e-19
6,8.1669653841519915e-03,2.2683422120383713e-03,2.0036369260298705e-03,1.1657341758564144e-14,0.0000000000000000e+00,0.0000000000000000e+00,2.8616581735261767e-17,-3.9422209749891156e-02,1.7578000504483042e-02,-5.7000210254374198e-02,-3.9422209749891163e-02,6.9388939039072284e-18,2.0395720573295886e-17,-3.9422209749891184e-02,1.7578000504483045e-02,-5.7000210254374226e-02,0.0000000000000000e+00,-2.8977725087733060e-02,3.9422209749891184e-02,2.8977725087733098e-02,0.0000000000000000e+00,1.6912866525736775e-04,1.2446551053568099e-04,-1.6912866525736775e-04,7.5213243051248046e-05,-2.4434190830861579e-04,-1.6912866525736775e-04,7.5213243051248046e-05,-2.4434190830861579e-04,-4.1057587499878788e-20,-1.2589070338139576e-20,6.2088888291397218e-05,3.7641561708443153e-08,1.3329963188782568e-05,2.4324999064018573e-07,2.4458515829925599e-04,0.0000000000000000e+00,-4.4663154721686759e-05,2.8912057932946787e-17,3.4238517907624199e-17,2.0354088784794539e-15,3.5786867164050468e-02,-2.1737150263951669e-19
7,1.0610008856999179e-02,2.9468878375723904e-03,2.4430434728471874e-03,-6.2172489379008766e-14,6.2172489379008766e-14,0.0000000000000000e+00,1.5290044766798146e-17,-4.9129445308900330e-02,2.1969229407375761e-02,-7.1098674716276095e-02,-4.9129445308900337e-02,6.9388939039072284e-18,1.8335861060839958e-17,-4.9129445308900357e-02,2.1969229407375761e-02,-7.1098674716276122e-02,0.0000000000000000e+00,-3.6077718022923935e-02,4.9129445308900357e-02,3.6077718022923942e-02,0.0000000000000000e+00,2.7729643670796591e-04,2.0393214836801708e-04,-2.7729643670796581e-04,1.2352104400392488e-04,-4.0081748071189074e-04,-2.7729643670796591e-04,1.2352104400392491e-04,-4.0081748071189079e-04,6.2538813522830004e-21,-1.2589070338139576e-20,9.7497871044113958e-05,9.6025162446300171e-08,2.6306921535409832e-05,3.7977373804520993e-07,4.0119725444993589e-04,0.0000000000000000e+00,-7.3364288339948839e-05,4.0476881106125503e-17,5.1880833092927383e-17,2.0354088784794539e-15,4.4273623743156576e-02,-1.8878102748331164e-19
8,1.3604548329037664e-02,3.7786092874050447e-03,2.9945394720384856e-03,-1.1657341758564144e-13,1.1657341758564144e-13,0.0000000000000000e+00,4.6286656484559563e-17,-6.0052738464127786e-02,2.6951766111374988e-02,-8.7004504575502767e-02,-6.0052738464127786e-02,0.0000000000000000e+00,7.9835430081167444e-19,-6.0052738464127800e-02,2.6951766111374988e-02,-8.7004504575502795e-02,1.3877787807814457e-17,-4.4049172676449658e-02,6.0052738464127800e-02,4.4049172676449540e-02,0.0000000000000000e+00,4.4077161618381227e-04,3.2390371685351075e-04,-4.4077161618381205e-04,1.9676897005008336e-04,-6.3754058623389544e-04,-4.4077161618381227e-04,1.9676897005008339e-04,-6.3754058623389565e-04,3.4902962935758480e-20,8.1897213493978418e-21,1.4788225466543526e-04,2.2937477274226934e-07,4.9249157632997844e-05,5.9181702109201129e-07,6.3813240325498737e-04,0.0000000000000000e+00,-1.1686789933030152e-04,4.6259292692714858e-17,5.5625477066243048e-17,4.2558549277297670e-15,5.3652492411632238e-02,-8.1519586182373391e-20
9,1.7272727383474604e-02,4.7974314568537619e-03,3.6681790544369399e-03,-7.3829831137572910e-14,7.3829831137572910e-14,0.0000000000000000e+00,5.9876778979627597e-17,-7.2194781298020719e-02,3.2545255923329644e-02,-1.0474003722135036e-01,-7.2194781298020733e-02,1.3877787807814457e-17,1.6346631673431346e-17,-7.2194781298020747e-02,3.2545255923329644e-02,-1.0474003722135039e-01,0.0000000000000000e+00,-5.2886874358915287e-02,7.2194781298020747e-02,5.2886874358915231e-02,0.0000000000000000e+00,6.8332540718018652e-04,5.0169310553103031e-04,-6.8332540718018630e-04,3.0589183506462170e-04,-9.8921724224480790e-04,-6.8332540718018652e-04,3.0589183506462170e-04,-9.8921724224480833e-04,6.6348402155425159e-20,3.3642826628670507e-20,2.1805032373013969e-04,5.1869116167381727e-07,8.8194425163402792e-05,8.7160499059456709e-07,9.9008884723540257e-04,0.0000000000000000e+00,-1.8163230164915621e-04,2.3129646346357429e-17,3.8464991306836222e-17,2.4054832200211726e-15,6.3848484287958335e-02,6.0519392334662004e-20
10,2.1601674586883238e-02,5.9997793563847284e-03,4.3289472034086333e-03,-2.7200464103316335e-14,2.7200464103316335e-14,0.0000000000000000e+00,5.7832495133176215e-17,-8.5099674322667393e-02,3.8559758527682689e-02,-1.2365943285035008e-01,-8.5099674322667407e-02,1.3877787807814457e-17,-4.2073654156107739e-17,-8.5099674322667365e-02,3.8559758527682689e-02,-1.2365943285035005e-01,0.0000000000000000e+00,-6.2253159694005758e-02,8.5099674322667365e-02,6.2253159694005758e-02,0.0000000000000000e+00,1.0237851040656172e-03,7.5091066973791381e-04,-1.0237851040656169e-03,4.5979676179264183e-04,-1.4835818658582587e-03,-1.0237851040656172e-03,4.5979676179264183e-04,-1.4835818658582591e-03,1.0662941141218652e-20,3.3642826628670507e-20,3.1056301471642640e-04,1.0916131916870481e-06,1.4942785113517465e-04,1.2857172506462581e-06,1.4848675831089051e-03,0.0000000000000000e+00,-2.7287443432770335e-04,9.2518585385429716e-17,1.5570049189059852e-16,1.6653345369377348e-15,7.4409420790623654e-02,-1.5395438618903248e-19
11,2.6603786706297781e-02,7.3890961388256874e-03,5.0021121194145438e-03,-2.7200464103316335e-14,2.7200464103316335e-14,0.0000000000000000e+00,1.2074898115476043e-16,-9.8460022204859943e-02,4.4860311029865499e-02,-1.4332033323472543e-01,-9.8460022204859957e-02,1.3877787807814457e-17,5.6861573087565704e-17,-9.8460022204860012e-02,4.4860311029865506e-02,-1.4332033323472551e-01,0.0000000000000000e+00,-7.1921229538801326e-02,9.8460022204860012e-02,7.1921229538801368e-02,0.0000000000000000e+00,1.4828781953838174e-03,1.0864883389861482e-03,-1.4828781953838172e-03,6.6843503226074984e-04,-2.1513132276445666e-03,-1.4828781953838174e-03,6.6843503226074984e-04,-2.1513132276445674e-03,4.7648355395201481e-20,3.3642826628670507e-20,4.2799900287679416e-04,2.1424667375532431e-06,2.4013773867609525e-04,1.8441760296927529e-06,2.1531574036742600e-03,0.0000000000000000e+00,-3.9638985639766917e-04,1.3877787807814457e-16,1.7994359446785096e-16,1.4802973661668755e-15,8.5020177284523990e-02,2.1529972374603158e-19
12,3.2378904182425415e-02,8.9931120902096949e-03,5.7751174761276336e-03,-4.2743586448068527e-14,4.2743586448068527e-14,0.0000000000000000e+00,6.0304958806041599e-17,-1.1223682099631271e-01,5.1431728803038271e-02,-1.6366854979935097e-01,-1.1223682099631271e-01,0.0000000000000000e+00,3.0550126795337855e-17,-1.1223682099631276e-01,5.1431728803038278e-02,-1.6366854979935103e-01,1.3877787807814457e-17,-8.1860757495124142e-02,1.1223682099631276e-01,8.1860757495124156e-02,0.0000000000000000e+00,2.0912777060518258e-03,1.5305428594027766e-03,-2.0912777060518254e-03,9.4648395328624023e-04,-3.0377616593380650e-03,-2.0912777060518258e-03,9.4648395328624023e-04,-3.0377616593380663e-03,3.0005477320109158e-19,7.3715754078120648e-20,5.7497041625215477e-04,3.9789717942691569e-06,3.7011185401496205e-04,2.5772887751457493e-06,3.0403389481132113e-03,0.0000000000000000e+00,-5.6073484664904928e-04,5.7824115865893574e-17,9.0980692494695317e-17,2.2204460492503131e-15,9.5591964721714745e-02,-1.4246911501362447e-19
13,3.9014414078918896e-02,1.0836098620533700e-02,6.6355098964934814e-03,-3.8857805861880479e-14,3.8857805861880479e-14,0.0000000000000000e+00,1.0596976447627748e-16,-1.2634198383853204e-01,5.8235267452492225e-02,-1.8457725129102426e-01,-1.2634198383853204e-01,0.0000000000000000e+00,7.0761111787239162e-17,-1.2634198383853212e-01,5.8235267452492231e-02,-1.8457725129102437e-01,0.0000000000000000e+00,-9.2006579809156233e-02,1.2634198383853212e-01,9.2006579809156247e-02,0.0000000000000000e+00,2.8828237163394258e-03,2.1073920780825379e-03,-2.8828237163394249e-03,1.3103321727723834e-03,-4.1931558891118072e-03,-2.8828237163394258e-03,1.3103321727723834e-03,-4.1931558891118090e-03,6.3618063632144259e-19,1.1975885324821535e-19,7.5611907123179951e-04,7.0506393753796293e-06,5.5067877282808080e-04,3.5163106628765661e-06,4.1966721997746849e-03,0.0000000000000000e+00,-7.7543163825688792e-04,2.3129646346357429e-17,4.4565853017184997e-17,9.2518585385429718e-16,1.0600184266730873e-01,-6.0710513803192537e-19
14,4.6566102928141950e-02,1.2933550217685386e-02,7.5516888492230538e-03,-1.9428902930940239e-14,1.9428902930940239e-14,0.0000000000000000e+00,1.6784881708273629e-16,-1.4062273581472423e-01,6.5199795689305090e-02,-2.0582253150402932e-01,-1.4062273581472426e-01,2.7755575615628914e-17,1.1047327070423281e-16,-1.4062273581472437e-01,6.5199795689305090e-02,-2.0582253150402946e-01,0.0000000000000000e+00,-1.0224770175462723e-01,1.4062273581472437e-01,1.0224770175462725e-01,0.0000000000000000e+00,3.8908409646101535e-03,2.8408660240820676e-03,-3.8908409646101517e-03,1.7764037677379105e-03,-5.6672447323480616e-03,-3.8908409646101535e-03,1.7764037677379105e-03,-5.6672447323480642e-03,1.3204934689997799e-18,1.1975885324821535e-19,9.7527235233417172e-04,1.1969559889548081e-05,7.9377802238674966e-04,4.6161668725587784e-06,5.6718608992206206e-03,0.0000000000000000e+00,-1.0499749405280859e-03,1.6190752442450201e-16,2.4121460059892483e-16,9.2518585385429718e-16,1.1608892401656588e-01,2.9389105583287741e-19
15,5.4988443645497487e-02,1.5272821914663542e-02,8.4223407173555365e-03,-8.5487172896137054e-14,8.5487172896137054e-14,0.0000000000000000e+00,8.0447116719789430e-17,-1.5481220759021833e-01,7.2192594336750460e-02,-2.2700480192696879e-01,-1.5481220759021833e-01,0.0000000000000000e+00,-8.5432317637770481e-17,-1.5481220759021824e-01,7.2192594336750474e-02,-2.2700480192696870e-01,0.0000000000000000e+00,-1.1239372661918512e-01,1.5481220759021824e-01,1.1239372661918501e-01,0.0000000000000000e+00,5.1349678411946919e-03,3.7447576449941228e-03,-5.1349678411946901e-03,2.3549865281235309e-03,-7.4899543693182202e-03,-5.1349678411946919e-03,2.3549865281235309e-03,-7.4899543693182228e-03,1.4259451883063072e-18,1.1975885324821535e-19,1.2331136897413453e-03,1.9447263856171360e-05,1.1083981700567335e-03,5.9725955307192782e-06,7.4959269648489403e-03,0.0000000000000000e+00,-1.3902101962005690e-03,4.6259292692714858e-17,8.8650234823040025e-17,2.0354088784794539e-15,1.2564452240427690e-01,-3.0420698377907883e-19
16,6.4055735620429932e-02,1.7791226262933186e-02,9.0672919749324454e-03,-5.8286708792820718e-14,5.8286708792820718e-14,0.0000000000000000e+00,1.1950860906085968e-16,-1.6845599373418590e-01,7.8989343483130456e-02,-2.4744533721731637e-01,-1.6845599373418590e-01,0.0000000000000000e+00,5.8971170781816142e-17,-1.6845599373418596e-01,7.8989343483130456e-02,-2.4744533721731643e-01,0.0000000000000000e+00,-1.2212147044073901e-01,1.6845599373418596e-01,1.2212147044073904e-01,0.0000000000000000e+00,6.6005514250045000e-03,4.8079665271446980e-03,-6.6005514250044982e-03,3.0403919138980019e-03,-9.6409433389024989e-03,-6.6005514250045000e-03,3.0403919138980019e-03,-9.6409433389025023e-03,1.3059797160390553e-18,1.1975885324821535e-19,1.5235233769643245e-03,3.0067536283264800e-05,1.4942952810352880e-03,7.4942803848752904e-06,9.6484376192873759e-03,0.0000000000000000e+00,-1.7925848978598020e-03,6.9388939039072284e-17,1.4644920570939366e-16,1.4802973661668755e-15,1.3437932252794038e-01,1.5615652993676369e-19
17,7.3958196791938255e-02,2.0541595539873083e-02,9.9024611715083227e-03,-1.1657341758564144e-14,1.1657341758564144e-14,0.0000000000000000e+00,5.7533718002888736e-17,-1.8181382725792244e-01,8.5702201814232729e-02,-2.6751602907215516e-01,-1.8181382725792244e-01,0.0000000000000000e+00,6.8987846435687435e-17,-1.8181382725792256e-01,8.5702201814232729e-02,-2.6751602907215527e-01,5.5511151231257827e-17,-1.3161824198118779e-01,1.8181382725792256e-01,1.3161824198118788e-01,0.0000000000000000e+00,8.3348180759672628e-03,6.0642903521086079e-03,-8.3348180759672610e-03,3.8558177301894233e-03,-1.2190635806156681e-02,-8.3348180759672628e-03,3.8558177301894233e-03,-1.2190635806156687e-02,1.9395343158094023e-18,3.9460736307484388e-19,1.8529396320512998e-03,4.4952203831771339e-05,1.9671294874917342e-03,9.2035931853820530e-06,1.2199839399342067e-02,0.0000000000000000e+00,-2.2705277238586549e-03,5.7824115865893574e-17,1.1543987722654359e-16,9.2518585385429718e-16,1.4248568838847181e-01,3.2876026876633561e-19
18,8.4581177958295284e-02,2.3492086384868664e-02,1.0622981166357029e-02,-1.9428902930940239e-14,1.9428902930940239e-14,0.0000000000000000e+00,8.9734211040160065e-17,-1.9468582397002548e-01,9.2233045288966559e-02,-2.8691886925899202e-01,-1.9468582397002548e-01,0.0000000000000000e+00,5.8678277100503422e-17,-1.9468582397002557e-01,9.2233045288966559e-02,-2.8691886925899213e-01,2.7755575615628914e-17,-1.4074363478449570e-01,1.9468582397002557e-01,1.4074363478449586e-01,0.0000000000000000e+00,1.0334592428034504e-02,7.5109378957663644e-03,-1.0334592428034502e-02,4.8009191195936083e-03,-1.5135511547628107e-02,-1.0334592428034504e-02,4.8009191195936083e-03,-1.5135511547628114e-02,2.6176317287627849e-18,8.3687779861418040e-19,2.2177070527641131e-03,6.4985460674123647e-05,2.5292912806694767e-03,1.1064674514105026e-05,1.5146576222142216e-02,0.0000000000000000e+00,-2.8236545322681394e-03,1.1564823173178715e-16,1.9098422244922177e-16,2.0354088784794539e-15,1.4987787937136537e-01,5.4962626496075616e-19
19,9.6266811614817122e-02,2.6737724740204621e-02,1.1685633656521838e-02,-1.9428902930940239e-14,1.9428902930940239e-14,0.0000000000000000e+00,4.3378955604961576e-17,-2.0742544453847411e-01,9.8747772489008429e-02,-3.0617321702748257e-01,-2.0742544453847414e-01,2.7755575615628914e-17,-2.9020986259177675e-18,-2.0742544453847411e-01,9.8747772489008429e-02,-3.0617321702748257e-01,-2.7755575615628914e-17,-1.4974907368318391e-01,2.0742544453847411e-01,1.4974907368318391e-01,0.0000000000000000e+00,1.2684054914509310e-02,9.2082335812884164e-03,-1.2684054914509309e-02,5.9167850555817926e-03,-1.8600839970091099e-02,-1.2684054914509310e-02,5.9167850555817926e-03,-1.8600839970091106e-02,2.9435217229701783e-18,8.3687779861418040e-19,2.6296842388901886e-03,9.2156248935287060e-05,3.2080937303444750e-03,1.3149162588157841e-05,1.8613989132679261e-02,0.0000000000000000e+00,-3.4758213332208941e-03,9.2518585385429716e-17,1.5627495530605781e-16,7.4014868308343773e-16,1.5721940064962886e-01,7.5396844743489758e-20
