step,t_dless,t_phys_s,dt_dless,min_cone_margin_MPa,max_cone_violation_MPa,max_positive_friction_power,max_abs_normal_power_closed,p_contact_total,p_contact_pert,p_offset,p_contact_metric,p_contact_metric_mismatch,p_normal_total,p_tangent_total,p_tangent_pert,p_tangent_offset,p_cross_metric,p_friction_lumped,d_fric_rate,d_fric_lumped_rate,friction_injection_rate,D_fric,D_fric_lumped,W_contact_total,W_contact_pert,W_offset_external,W_tangent_total,W_tangent_pert,W_tangent_offset,W_normal_total,W_cross_metric,KE,W_elastic,D_vis,bulk_residual_pert,bulk_residual_total,interface_residual_D_fric_plus_W_tangent,coulomb_lumped_residual,endpoint_res_inf,endpoint_res_l2,endpoint_force_res_inf,max_abs_vt,min_gap
0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,nan,nan,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1,3.3690593526946173e-04,9.3574285981541354e-05,3.3690593526946173e-04,-3.1086244689504383e-14,3.1086244689504383e-14,0.0000000000000000e+00,1.1429474827900674e-18,-4.8617819098724629e-03,2.1563861732441041e-03,-7.0181680831165674e-03,-4.8617819098724646e-03,1.7347234759768071e-18,5.2396110143390334e-19,-4.8617819098724646e-03,2.1563861732441041e-03,-7.0181680831165692e-03,-8.6736173798840355e-19,-3.3351746583635453e-03,4.8617819098724646e-03,3.3351746583635471e-03,0.0000000000000000e+00,8.1898159071086630e-07,5.6182006878148913e-07,-8.1898159071086598e-07,3.6324965024947024e-07,-1.1822312409603362e-06,-8.1898159071086630e-07,3.6324965024947024e-07,-1.1822312409603366e-06,8.8262802461703262e-23,-1.4610965877696446e-22,3.5020895612005991e-07,4.4495355286334594e-12,2.2994028666812741e-08,9.9577840729310451e-09,1.1921890250332673e-06,0.0000000000000000e+00,-2.5716152192937717e-07,1.4456028966473393e-18,3.4783294274462266e-18,3.2751579226442118e-14,3.8799438544445440e-03,-4.1373100943634835e-22
2,6.4473431377303240e-04,1.7907239601124093e-04,3.0782837850357067e-04,-7.7715611723760958e-14,7.7715611723760958e-14,0.0000000000000000e+00,4.1401506928038545e-18,-8.9656338998849450e-03,3.9791830804332094e-03,-1.2944816980318154e-02,-8.9656338998849467e-03,1.7347234759768071e-18,7.1604350726915769e-19,-8.9656338998849467e-03,3.9791830804332103e-03,-1.2944816980318158e-02,0.0000000000000000e+00,-6.1490341452222581e-03,8.9656338998849467e-03,6.1490341452222555e-03,0.0000000000000000e+00,2.9472170845169968e-06,2.0215743774800432e-06,-2.9472170845169964e-06,1.3076008175273956e-06,-4.2548179020443916e-06,-2.9472170845169968e-06,1.3076008175273956e-06,-4.2548179020443924e-06,2.7911710647871224e-22,-2.7960893746746905e-22,1.1967980627509545e-06,3.5095611878732764e-11,1.1037140324969630e-07,-3.9625591486599026e-10,4.2544216461295260e-06,0.0000000000000000e+00,-9.2564270703695361e-07,8.6736173798840355e-18,1.8113785016413711e-17,3.0161058835650088e-14,7.1502017002076160e-03,-1.1714878633506580e-21
3,9.3721430163539853e-04,2.6030755147450407e-04,2.9247998786236613e-04,-1.3211653993039363e-13,1.3211653993039363e-13,0.0000000000000000e+00,1.8974285891634202e-17,-1.2668185247830803e-02,5.6264955534125385e-03,-1.8294680801243343e-02,-1.2668185247830806e-02,3.4694469519536142e-18,4.9662275317107056e-18,-1.2668185247830810e-02,5.6264955534125385e-03,-1.8294680801243350e-02,-1.7347234759768071e-18,-8.6870322173987422e-03,1.2668185247830810e-02,8.6870322173987404e-03,0.0000000000000000e+00,6.1109466653872605e-06,4.1912006323123667e-06,-6.1109466653872588e-06,2.7123352026458925e-06,-8.8232818680331526e-06,-6.1109466653872605e-06,2.7123352026458930e-06,-8.8232818680331543e-06,1.1100923887344647e-21,-5.3329488806659811e-22,2.4022606182025077e-06,1.2863193967173798e-10,2.9291087115524010e-07,-1.7035081348472845e-08,8.8062467866846785e-06,0.0000000000000000e+00,-1.9197460330748938e-06,3.9031278209478160e-17,5.0260953851014221e-17,1.0732155904709847e-14,1.0089106543558875e-02,-3.5930987477099627e-20
4,1.2598455391331512e-03,3.4991709682147737e-04,3.2263123749775267e-04,-1.1657341758564144e-13,1.1657341758564144e-13,0.0000000000000000e+00,2.1456559513871337e-17,-1.6556006540763366e-02,7.3588022999117276e-03,-2.3914808840675095e-02,-1.6556006540763370e-02,3.4694469519536142e-18,-4.1714054874180542e-18,-1.6556006540763366e-02,7.3588022999117285e-03,-2.3914808840675095e-02,0.0000000000000000e+00,-1.1351322250523831e-02,1.6556006540763366e-02,1.1351322250523823e-02,0.0000000000000000e+00,1.0825265246200162e-05,7.4237001820146052e-06,-1.0825265246200159e-05,4.8070665604933517e-06,-1.5632331806693512e-05,-1.0825265246200162e-05,4.8070665604933526e-06,-1.5632331806693516e-05,1.2383095986047807e-21,-8.1313287895199826e-22,4.1299311398446143e-06,3.6518993524205448e-10,6.3884965010863582e-07,-3.7920580604859237e-08,1.5594411226088650e-05,0.0000000000000000e+00,-3.4015650641855570e-06,2.1684043449710089e-17,4.5035112767410898e-17,9.2518585385429722e-15,1.3160069605993988e-02,-9.2102450391465188e-20
5,1.6660273000562009e-03,4.6273246834854792e-04,4.0618176092304965e-04,-2.2148949341271873e-13,2.2148949341271873e-13,0.0000000000000000e+00,2.5327193966893167e-17,-2.1191355079598115e-02,9.4277330935878985e-03,-3.0619088173186013e-02,-2.1191355079598118e-02,3.4694469519536142e-18,-3.0041392798218436e-18,-2.1191355079598111e-02,9.4277330935878985e-03,-3.0619088173186010e-02,-3.4694469519536142e-18,-1.4526968418918609e-02,2.1191355079598111e-02,1.4526968418918594e-02,0.0000000000000000e+00,1.8491410152778944e-05,1.2679345018910928e-05,-1.8491410152778941e-05,8.2162588134577400e-06,-2.6707668966236681e-05,-1.8491410152778944e-05,8.2162588134577400e-06,-2.6707668966236688e-05,-2.1897810596505745e-22,-1.5177459151388114e-21,6.8273391039421716e-06,9.7676230084269765e-10,1.3260691922075772e-06,-6.1873755007147238e-08,2.6645795211229534e-05,0.0000000000000000e+00,-5.8120651338680168e-06,2.3129646346357429e-17,4.9857793956574248e-17,7.4014868308343775e-15,1.6797558503673930e-02,-3.6295549927547338e-20
6,2.2010764961935027e-03,6.1134025839386602e-04,5.3504919613730183e-04,-1.3600232051658168e-13,1.3600232051658168e-13,0.0000000000000000e+00,1.7186983916916188e-17,-2.6909220667579149e-02,1.1985893765169944e-02,-3.8895114432749095e-02,-2.6909220667579153e-02,3.4694469519536142e-18,7.5513035710919798e-18,-2.6909220667579163e-02,1.1985893765169947e-02,-3.8895114432749109e-02,3.4694469519536142e-18,-1.8442805049547491e-02,2.6909220667579163e-02,1.8442805049547487e-02,0.0000000000000000e+00,3.1359497346413242e-05,2.1499570414476787e-05,-3.1359497346413235e-05,1.3944930732039000e-05,-4.5304428078452235e-05,-3.1359497346413242e-05,1.3944930732039000e-05,-4.5304428078452242e-05,9.9750019340910757e-22,-1.5177459151388114e-21,1.1151428530461320e-05,2.5741581171083536e-09,2.7065248769646611e-06,-8.4403166495910088e-08,4.5220024911956325e-05,0.0000000000000000e+00,-9.8599269319364548e-06,2.6020852139652106e-17,5.9684320225096481e-17,3.1456319031046105e-15,2.1242410885077868e-02,-8.5247816730791611e-20
7,2.9138648190041977e-03,8.0931438523625825e-04,7.1278832281069507e-04,-2.7589042161935140e-13,2.7589042161935140e-13,0.0000000000000000e+00,3.5407191179643738e-17,-3.3939405011141358e-02,1.5141576352103395e-02,-4.9080981363244749e-02,-3.3939405011141364e-02,6.9388939039072284e-18,1.8859769420383973e-17,-3.3939405011141385e-02,1.5141576352103394e-02,-4.9080981363244777e-02,0.0000000000000000e+00,-2.3255115166668169e-02,3.3939405011141385e-02,2.3255115166668106e-02,0.0000000000000000e+00,5.3045592267848749e-05,3.6360465722282033e-05,-5.3045592267848729e-05,2.3613002695533256e-05,-7.6658594963381984e-05,-5.3045592267848749e-05,2.3613002695533256e-05,-7.6658594963382011e-05,1.0410252404021603e-20,-2.8125527815696397e-22,1.8070035260537493e-05,6.7124777974783541e-09,5.4402545114960912e-06,-9.6000445702191411e-08,7.6562594517679786e-05,0.0000000000000000e+00,-1.6685126545566716e-05,2.3129646346357429e-17,5.6867893973227407e-17,6.8463753185217992e-15,2.6632330264518844e-02,-1.0436745678397286e-19
8,3.8739223392237261e-03,1.0759665499833679e-03,9.6005752021952832e-04,-5.8286708792820718e-14,5.8286708792820718e-14,0.0000000000000000e+00,4.6944015971996834e-17,-4.2536737712758316e-02,1.9018082202124222e-02,-6.1554819914882541e-02,-4.2536737712758316e-02,0.0000000000000000e+00,1.5402126712421567e-17,-4.2536737712758330e-02,1.9018082202124226e-02,-6.1554819914882555e-02,0.0000000000000000e+00,-2.9136648975857809e-02,4.2536737712758330e-02,2.9136648975857823e-02,0.0000000000000000e+00,8.9756340237579700e-05,6.1510019303581952e-05,-8.9756340237579646e-05,4.0010621237092034e-05,-1.2976696147467168e-04,-8.9756340237579700e-05,4.0010621237092034e-05,-1.2976696147467173e-04,2.6856947923661770e-20,-2.8125527815696397e-22,2.9136551316535149e-05,1.7368819975176297e-08,1.0775902200199695e-05,-8.0798900382011822e-08,1.2968616257428967e-04,0.0000000000000000e+00,-2.8246320933997748e-05,5.2041704279304213e-17,1.3513719799088664e-16,4.9960036108132044e-15,3.3091968986375564e-02,-1.2369147768211424e-19
9,5.1665873613048769e-03,1.4349991278980654e-03,1.2926650220811508e-03,-9.7144514654701197e-14,9.7144514654701197e-14,0.0000000000000000e+00,5.8649736728359731e-17,-5.2873007349189691e-02,2.3706912370556808e-02,-7.6579919719746495e-02,-5.2873007349189684e-02,-6.9388939039072284e-18,-1.2926675962489242e-17,-5.2873007349189677e-02,2.3706912370556808e-02,-7.6579919719746481e-02,6.9388939039072284e-18,-3.6202377139707462e-02,5.2873007349189677e-02,3.6202377139707441e-02,0.0000000000000000e+00,1.5142276034120971e-04,1.0374075612180097e-04,-1.5142276034120966e-04,6.7625174263447914e-05,-2.1904793460465755e-04,-1.5142276034120971e-04,6.7625174263447914e-05,-2.1904793460465760e-04,2.8456912222822805e-20,4.2035774425995364e-21,4.6653953096384993e-05,4.4252189671918006e-08,2.0908011453173530e-05,-1.8957524217479756e-08,2.1902897708044009e-04,0.0000000000000000e+00,-4.7682004219408739e-05,1.3299546649155522e-16,1.9861847307366225e-16,5.3660779523549235e-15,4.0638596763539328e-02,-1.4609487160390894e-19
