step,t_dless,t_phys_s,dt_dless,min_cone_margin_MPa,max_cone_violation_MPa,max_positive_friction_power,max_abs_normal_power_closed,p_contact_total,p_contact_pert,p_offset,p_contact_metric,p_contact_metric_mismatch,p_normal_total,p_tangent_total,p_tangent_pert,p_tangent_offset,p_cross_metric,p_friction_lumped,d_fric_rate,d_fric_lumped_rate,friction_injection_rate,D_fric,D_fric_lumped,W_contact_total,W_contact_pert,W_offset_external,W_tangent_total,W_tangent_pert,W_tangent_offset,W_normal_total,W_cross_metric,KE,W_elastic,D_vis,bulk_residual_pert,bulk_residual_total,interface_residual_D_fric_plus_W_tangent,coulomb_lumped_residual,endpoint_res_inf,endpoint_res_l2,endpoint_force_res_inf,max_abs_vt,min_gap
0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,nan,nan,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1,1.2621418022223685e-04,3.5055487477818639e-05,1.2621418022223685e-04,-1.9428902930940239e-14,1.9428902930940239e-14,0.0000000000000000e+00,1.3216159372788765e-18,-2.2269019811918794e-03,9.8777026398147536e-04,-3.2146722451733547e-03,-2.2269019811918824e-03,3.0357660829594124e-18,6.1729703533057400e-20,-2.2269019811918820e-03,9.8777026398147623e-04,-3.2146722451733582e-03,-4.3368086899420177e-19,-1.5216113946436576e-03,2.2269019811918820e-03,1.5216113946436576e-03,0.0000000000000000e+00,1.4053330399570424e-07,9.6024467395881878e-08,-1.4053330399570408e-07,6.2335307058162203e-08,-2.0286861105386630e-07,-1.4053330399570424e-07,6.2335307058162256e-08,-2.0286861105386651e-07,3.8955819633932786e-24,-2.7368337679085237e-23,5.9056219336851063e-08,4.3136659531258554e-13,1.9965802949847020e-09,-1.2820760597311312e-09,2.0158653499413517e-07,0.0000000000000000e+00,-4.4508836599822364e-08,1.0842021724855044e-18,2.2733800450244398e-18,1.1564823173178715e-13,1.8979333260077786e-03,-4.6163477377544148e-22
2,2.4308554568590982e-04,6.7516045248058252e-05,1.1687136546367297e-04,-2.0594637106796654e-13,2.0594637106796654e-13,0.0000000000000000e+00,4.5075718550077304e-18,-4.2246749572306683e-03,1.8752517116757276e-03,-6.0999266689063959e-03,-4.2246749572306718e-03,3.4694469519536142e-18,3.1828868262978045e-18,-4.2246749572306752e-03,1.8752517116757291e-03,-6.0999266689064045e-03,0.0000000000000000e+00,-2.8864859106993816e-03,4.2246749572306752e-03,2.8864859106993760e-03,0.0000000000000000e+00,5.1753560708939778e-07,3.5361464298197075e-07,-5.1753560708939704e-07,2.2963795088194220e-07,-7.4717355797133919e-07,-5.1753560708939778e-07,2.2963795088194242e-07,-7.4717355797134025e-07,1.9349696408706180e-22,-5.2710775346497554e-23,2.1308269735571452e-07,2.6174530171873204e-12,1.0331922020486270e-08,-6.2207140527242091e-09,7.4095284391861498e-07,0.0000000000000000e+00,-1.6392096410742702e-07,5.7824115865893572e-18,9.0569646134920796e-18,3.1456319031046106e-14,3.5828450813309796e-03,-6.1674851840973783e-21
3,3.6568796518506887e-04,1.0156838052397854e-04,1.2260241949915905e-04,-1.2434497875801753e-13,1.2434497875801753e-13,0.0000000000000000e+00,1.1157232571002110e-17,-6.2590428239567963e-03,2.7801764048266848e-03,-9.0392192287834811e-03,-6.2590428239568006e-03,4.3368086899420177e-18,5.0977300943700837e-18,-6.2590428239568067e-03,2.7801764048266875e-03,-9.0392192287834933e-03,8.6736173798840355e-19,-4.2761889315485356e-03,6.2590428239568067e-03,4.2761889315485347e-03,0.0000000000000000e+00,1.1602001897493680e-06,7.9269527585464635e-07,-1.1602001897493663e-06,5.1502132632574654e-07,-1.6752215160751127e-06,-1.1602001897493680e-06,5.1502132632574707e-07,-1.6752215160751151e-06,7.0110879879684134e-22,4.5954848268940897e-25,4.6905786736875250e-07,9.4113092363678254e-12,3.1695276342516264e-08,-1.4258771305241410e-08,1.6609627447698714e-06,0.0000000000000000e+00,-3.6750491389472165e-07,7.9508159315603669e-18,1.5545441159764955e-17,2.1834386150961414e-14,5.2817084659869803e-03,-1.9915159313156045e-20
4,5.1194714539530128e-04,1.4219128716844523e-04,1.4625918021023241e-04,-1.0491607582707729e-13,1.0491607582707729e-13,0.0000000000000000e+00,2.8622807466840685e-17,-8.6099945062089282e-03,3.8272891128907161e-03,-1.2437283619099643e-02,-8.6099945062089352e-03,6.9388939039072284e-18,-3.9281129276497690e-18,-8.6099945062089317e-03,3.8272891128907187e-03,-1.2437283619099650e-02,0.0000000000000000e+00,-5.8819364801999110e-03,8.6099945062089317e-03,5.8819364801999110e-03,0.0000000000000000e+00,2.2475667949620599e-06,1.5355548234521749e-06,-2.2475667949620574e-06,9.9822257127010934e-07,-3.2457893662321667e-06,-2.2475667949620599e-06,9.9822257127011040e-07,-3.2457893662321701e-06,7.8664242277900536e-22,6.3889356854642564e-23,8.9087926180872383e-07,2.8452947746729580e-11,8.0984101291596017e-08,-2.6330755222042842e-08,3.2194586110101239e-06,0.0000000000000000e+00,-7.1201197150988507e-07,1.7347234759768071e-17,4.2694138448227526e-17,2.8310687127941492e-14,7.2240962472858404e-03,-2.3584289680585315e-20
5,6.9413821858504119e-04,1.9279413443590320e-04,1.8219107318973992e-04,-2.0594637106796654e-13,2.0594637106796654e-13,0.0000000000000000e+00,1.5497627737697273e-17,-1.1430889847996846e-02,5.0857146228707392e-03,-1.6516604470867585e-02,-1.1430889847996856e-02,1.0408340855860843e-17,-6.0900567598528800e-18,-1.1430889847996849e-02,5.0857146228707427e-03,-1.6516604470867592e-02,0.0000000000000000e+00,-7.8083418981659538e-03,1.1430889847996849e-02,7.8083418981659616e-03,0.0000000000000000e+00,4.0732019090441697e-06,2.7826780784625604e-06,-4.0732019090441663e-06,1.8101574292513796e-06,-5.8833593382955458e-06,-4.0732019090441697e-06,1.8101574292513813e-06,-5.8833593382955501e-06,-1.2596812060250911e-22,6.3889356854642564e-23,1.5781362208061832e-06,7.9165350481646915e-11,1.8844228794130178e-07,-4.3499755153413069e-08,5.8398595831421324e-06,0.0000000000000000e+00,-1.2905238305816093e-06,1.5901631863120734e-17,4.3068838632800780e-17,9.8069700508555505e-15,9.5253913827240810e-03,-3.1546437379084780e-20
6,9.2197657713562219e-04,2.5607533398949717e-04,2.2783835855058100e-04,-1.3211653993039363e-13,1.3211653993039363e-13,0.0000000000000000e+00,1.6554181557328426e-17,-1.4803306318103495e-02,6.5931408447115047e-03,-2.1396447162815000e-02,-1.4803306318103508e-02,1.2143064331837650e-17,-7.8348179286054825e-18,-1.4803306318103501e-02,6.5931408447115099e-03,-2.1396447162815010e-02,1.7347234759768071e-18,-1.0110894734947098e-02,1.4803306318103501e-02,1.0110894734947097e-02,0.0000000000000000e+00,7.0617800052332941e-06,4.8240228089465200e-06,-7.0617800052332899e-06,3.1406030589930876e-06,-1.0202383064226378e-05,-7.0617800052332941e-06,3.1406030589930906e-06,-1.0202383064226384e-05,-1.7122784166229523e-21,2.6150763150749954e-22,2.6648440742633145e-06,2.0738325682477119e-10,4.0931576355536594e-07,-6.6235837917582509e-08,1.0136147226308795e-05,0.0000000000000000e+00,-2.2377571962867742e-06,2.6020852139652106e-17,5.5516986040466600e-17,6.1062266354383610e-15,1.2234453873133457e-02,-6.7787663325505608e-20
7,1.2080242368392924e-03,3.3552393584346420e-04,2.8604765970367016e-04,-1.6320278461989801e-13,1.6320278461989801e-13,0.0000000000000000e+00,3.8674729172231532e-17,-1.8815690022274477e-02,8.3908385001222868e-03,-2.7206528522396765e-02,-1.8815690022274494e-02,1.7347234759768071e-17,-1.6473810785585056e-17,-1.8815690022274477e-02,8.3908385001222937e-03,-2.7206528522396772e-02,0.0000000000000000e+00,-1.2849660984992305e-02,1.8815690022274477e-02,1.2849660984992321e-02,0.0000000000000000e+00,1.1870097617608980e-05,8.1079294235387134e-06,-1.1870097617608976e-05,5.2836691713120071e-06,-1.7153766788920983e-05,-1.1870097617608980e-05,5.2836691713120122e-06,-1.7153766788920990e-05,-5.1889915937727727e-21,5.0961442677559037e-22,4.3457184709897098e-06,5.1957598407852429e-10,8.4335816082297287e-07,-9.4072963515245850e-08,1.7059693825405739e-05,0.0000000000000000e+00,-3.7621681940702662e-06,5.7824115865893574e-17,9.6156827876373757e-17,7.9565983431469557e-15,1.5397714307683934e-02,-7.5131782690225581e-20
8,1.5728608448800764e-03,4.3685585530056360e-04,3.6483660804078407e-04,-2.3703261575747092e-13,2.3703261575747092e-13,0.0000000000000000e+00,4.9537605188771918e-17,-2.3616006673765878e-02,1.0547440671057246e-02,-3.4163447344823128e-02,-2.3616006673765896e-02,1.7347234759768071e-17,-1.5351018583025985e-17,-2.3616006673765882e-02,1.0547440671057255e-02,-3.4163447344823135e-02,0.0000000000000000e+00,-1.6125162473155603e-02,2.3616006673765882e-02,1.6125162473155579e-02,0.0000000000000000e+00,1.9610415765608333e-05,1.3393467578064323e-05,-1.9610415765608330e-05,8.7383579387832934e-06,-2.8348773704391625e-05,-1.9610415765608333e-05,8.7383579387833019e-06,-2.8348773704391631e-05,-1.0994422992933163e-20,5.0961442677559037e-22,6.9349340209015561e-06,1.2694124738559774e-09,1.6771858193102103e-06,-1.2496868609767030e-07,2.8223805018293953e-05,0.0000000000000000e+00,-6.2169481875440104e-06,3.1803263726241468e-17,6.6938126621000065e-17,8.3266726846886741e-15,1.9097137170727516e-02,-6.8019519446755474e-20
9,2.0500374548450603e-03,5.6938976429463637e-04,4.7717660996498385e-04,-1.5154544286133387e-13,1.5154544286133387e-13,0.0000000000000000e+00,8.1035241136567300e-17,-2.9432302588718845e-02,1.3168734478195724e-02,-4.2601037066914565e-02,-2.9432302588718866e-02,2.0816681711721685e-17,-2.7312633087540112e-17,-2.9432302588718838e-02,1.3168734478195733e-02,-4.2601037066914572e-02,0.0000000000000000e+00,-2.0092264833308050e-02,2.9432302588718838e-02,2.0092264833308046e-02,0.0000000000000000e+00,3.2267121954731586e-05,2.2034522169940099e-05,-3.2267121954731586e-05,1.4396759968311457e-05,-4.6663881923043041e-05,-3.2267121954731586e-05,1.4396759968311469e-05,-4.6663881923043055e-05,-2.1173471329376988e-20,5.0961442677559037e-22,1.0967321472834594e-05,3.0852959222263009e-09,3.2725241318086835e-06,-1.5382906774595206e-07,4.6510052855297091e-05,0.0000000000000000e+00,-1.0232599784791487e-05,6.0715321659188248e-17,1.4830814863983570e-16,4.9960036108132044e-15,2.3457358065725312e-02,-1.2587441437884622e-19
