step,t_dless,t_phys_s,dt_dless,min_cone_margin_MPa,max_cone_violation_MPa,max_positive_friction_power,max_abs_normal_power_closed,p_contact_total,p_contact_pert,p_offset,p_contact_metric,p_contact_metric_mismatch,p_normal_total,p_tangent_total,p_tangent_pert,p_tangent_offset,p_cross_metric,p_friction_lumped,d_fric_rate,d_fric_lumped_rate,friction_injection_rate,D_fric,D_fric_lumped,W_contact_total,W_contact_pert,W_offset_external,W_tangent_total,W_tangent_pert,W_tangent_offset,W_normal_total,W_cross_metric,KE,W_elastic,D_vis,bulk_residual_pert,bulk_residual_total,interface_residual_D_fric_plus_W_tangent,coulomb_lumped_residual,endpoint_res_inf,endpoint_res_l2,endpoint_force_res_inf,max_abs_vt,min_gap
0,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,nan,nan,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
1,3.9685792155974916e-04,1.1022571216019232e-04,3.9685792155974916e-04,-1.9428902930940239e-14,1.9428902930940239e-14,0.0000000000000000e+00,2.0958025922478231e-18,-4.8492453411635231e-03,2.1500437517714389e-03,-6.9992890929349624e-03,-4.8492453411635239e-03,8.6736173798840355e-19,4.0906712363283098e-19,-4.8492453411635248e-03,2.1500437517714393e-03,-6.9992890929349641e-03,8.6736173798840355e-19,-3.3529275080722955e-03,4.8492453411635248e-03,3.3529275080722959e-03,0.0000000000000000e+00,9.6223071361372662e-07,6.6531792099704026e-07,-9.6223071361372619e-07,4.2663094729526922e-07,-1.3888616609089955e-06,-9.6223071361372662e-07,4.2663094729526933e-07,-1.3888616609089959e-06,8.1170764231675129e-23,1.7210968828926478e-22,4.1274691111635242e-07,5.4589384970840681e-12,2.5867460832552211e-08,1.1988883592132531e-08,1.4008505445011279e-06,0.0000000000000000e+00,-2.9691279261668635e-07,2.1684043449710089e-18,3.1708666030019775e-18,2.9420910152566648e-14,4.7126954879720606e-03,-3.8464544718569344e-22
2,7.7057913386748456e-04,2.1402529517995227e-04,3.7372121230773539e-04,-1.3211653993039363e-13,1.3211653993039363e-13,0.0000000000000000e+00,2.0552334253689261e-18,-9.1023626434826831e-03,4.0370520386824264e-03,-1.3139414682165109e-02,-9.1023626434826883e-03,5.2041704279304213e-18,-7.8302018925360607e-19,-9.1023626434826865e-03,4.0370520386824272e-03,-1.3139414682165115e-02,-1.7347234759768071e-18,-6.2941159780000085e-03,9.1023626434826865e-03,6.2941159779999938e-03,0.0000000000000000e+00,3.5692366384458584e-06,2.4679703143972292e-06,-3.5692366384458567e-06,1.5827554170315218e-06,-5.1519920554773789e-06,-3.5692366384458584e-06,1.5827554170315220e-06,-5.1519920554773806e-06,1.1293667716680032e-23,1.0033948174079521e-23,1.4595666787104059e-06,4.5895056806237582e-11,1.3069269218836203e-07,7.5498489240522926e-09,5.1595419044014308e-06,0.0000000000000000e+00,-1.1012663240486292e-06,4.3368086899420177e-18,8.5849218742449218e-18,1.3322676295501878e-14,8.7275513032477117e-03,-9.8283549992272064e-21
3,1.1414258327736401e-03,3.1702649351443774e-04,3.7084669890615559e-04,-8.5487172896137054e-14,8.5487172896137054e-14,0.0000000000000000e+00,7.6953048815267369e-18,-1.3103544219060955e-02,5.8161400159839512e-03,-1.8919684235044906e-02,-1.3103544219060960e-02,5.2041704279304213e-18,3.0088579772824984e-18,-1.3103544219060962e-02,5.8161400159839529e-03,-1.8919684235044913e-02,-1.7347234759768071e-18,-9.0611800214722669e-03,1.3103544219060962e-02,9.0611800214722652e-03,0.0000000000000000e+00,7.6867302665417876e-06,5.3152007304628216e-06,-7.6867302665417842e-06,3.4097672906122152e-06,-1.1096497557154000e-05,-7.6867302665417876e-06,3.4097672906122156e-06,-1.1096497557154003e-05,4.2401596571222702e-22,-6.3328252640693103e-22,3.0392934090779761e-06,1.8230047472331540e-10,3.6787981596355890e-07,-2.4117650959569512e-09,1.1094085792058042e-05,0.0000000000000000e+00,-2.3715295360789660e-06,5.7824115865893572e-18,1.4113519619901317e-17,9.9920072216264089e-15,1.2429224341952989e-02,-1.2336580909073314e-20
4,1.5665836542864144e-03,4.3511239053404892e-04,4.2515782151277427e-04,-1.1268763699945339e-13,1.1268763699945339e-13,0.0000000000000000e+00,1.3327894350773609e-17,-1.7453598142205887e-02,7.7541588747322317e-03,-2.5207757016938118e-02,-1.7453598142205894e-02,6.9388939039072284e-18,-7.9232765321581443e-18,-1.7453598142205887e-02,7.7541588747322334e-03,-2.5207757016938122e-02,0.0000000000000000e+00,-1.2069558924943968e-02,1.7453598142205887e-02,1.2069558924943992e-02,0.0000000000000000e+00,1.4182534305527750e-05,9.8071501991695567e-06,-1.4182534305527745e-05,6.2945266474392698e-06,-2.0477060952967012e-05,-1.4182534305527750e-05,6.2945266474392707e-06,-2.0477060952967019e-05,-6.2068577768421587e-22,-1.0020481533936144e-21,5.4267957899660345e-06,5.6478474143098814e-10,8.5239686477875483e-07,-1.4769207953050186e-08,2.0462291745013966e-05,0.0000000000000000e+00,-4.3753841063581935e-06,1.2143064331837650e-17,2.9337548282921359e-17,6.8463753185217992e-15,1.6372176840334065e-02,-4.2392381730542588e-20
5,2.1138381235435862e-03,5.8711014673264378e-04,5.4725446925717181e-04,-1.3211653993039363e-13,1.3211653993039363e-13,0.0000000000000000e+00,6.7011030995410577e-17,-2.2724314462193102e-02,1.0108095460124750e-02,-3.2832409922317854e-02,-2.2724314462193106e-02,3.4694469519536142e-18,-2.0344948002945651e-17,-2.2724314462193088e-02,1.0108095460124752e-02,-3.2832409922317840e-02,3.4694469519536142e-18,-1.5714592232806062e-02,2.2724314462193088e-02,1.5714592232806066e-02,0.0000000000000000e+00,2.5176305424618448e-05,1.7409650646967330e-05,-2.5176305424618445e-05,1.1182125905318658e-05,-3.6358431329937099e-05,-2.5176305424618448e-05,1.1182125905318658e-05,-3.6358431329937106e-05,-8.3556418850846111e-21,-5.2712978239970598e-23,9.2857144044998604e-06,1.6411019544201590e-09,1.8695484530310359e-06,-2.5221945833340314e-08,3.6333209384103764e-05,0.0000000000000000e+00,-7.7666547776511187e-06,5.4932910072598893e-17,8.9805571201874944e-17,3.3306690738754696e-15,2.1038144240966939e-02,-1.4379513728274964e-19
6,2.8410209651292696e-03,7.8908229401756722e-04,7.2718284158568335e-04,-3.8857805861880479e-14,3.8857805861880479e-14,0.0000000000000000e+00,1.7617376755968588e-17,-2.9230187020253061e-02,1.3023664565568100e-02,-4.2253851585821164e-02,-2.9230187020253071e-02,1.0408340855860843e-17,5.8489097057746804e-18,-2.9230187020253075e-02,1.3023664565568104e-02,-4.2253851585821178e-02,-3.4694469519536142e-18,-2.0213461123724047e-02,2.9230187020253075e-02,2.0213461123724043e-02,0.0000000000000000e+00,4.4066516435204850e-05,3.0472782613189138e-05,-4.4066516435204843e-05,1.9592635398499381e-05,-6.3659151833704228e-05,-4.4066516435204850e-05,1.9592635398499384e-05,-6.3659151833704228e-05,-1.3626277045420449e-20,-5.2712978239970598e-23,1.5579109853333547e-05,4.6308480771363712e-09,3.9834203526956021e-06,-2.5474344393093708e-08,6.3633677489311131e-05,0.0000000000000000e+00,-1.3593733822015713e-05,1.7347234759768071e-17,3.6374080720391038e-17,4.6259292692714861e-15,2.6631763600203744e-02,-1.9314729572599817e-19
7,3.8034799659020274e-03,1.0564014604542947e-03,9.6245900077275787e-04,-5.0515147620444623e-14,5.0515147620444623e-14,0.0000000000000000e+00,3.5942831695530212e-17,-3.7105129872643701e-02,1.6569586446604851e-02,-5.3674716319248555e-02,-3.7105129872643708e-02,6.9388939039072284e-18,-2.7022281117603661e-17,-3.7105129872643680e-02,1.6569586446604855e-02,-5.3674716319248535e-02,0.0000000000000000e+00,-2.5658038794809448e-02,3.7105129872643680e-02,2.5658038794809448e-02,0.0000000000000000e+00,7.5989027841545686e-05,5.2547501600958831e-05,-7.5989027841545672e-05,3.3833780797896071e-05,-1.0982280863944176e-04,-7.5989027841545686e-05,3.3833780797896078e-05,-1.0982280863944175e-04,-2.3815527991430149e-20,-1.7223132015456536e-21,2.5616666002655369e-05,1.2607565550108227e-08,8.2008777916705876e-06,-3.6294380200023782e-09,1.0981917920142174e-04,0.0000000000000000e+00,-2.3441526240586854e-05,2.6020852139652106e-17,6.4532853198195348e-17,3.8857805861880479e-15,3.3163961819438682e-02,-3.2002052641262594e-19
8,5.0566453138500625e-03,1.4044631606949210e-03,1.2531653479480351e-03,-1.1268763699945339e-13,1.1268763699945339e-13,0.0000000000000000e+00,5.5943652195220703e-17,-4.6343281853784640e-02,2.0755212284429017e-02,-6.7098494138213657e-02,-4.6343281853784647e-02,6.9388939039072284e-18,-1.1162959229904919e-17,-4.6343281853784626e-02,2.0755212284429021e-02,-6.7098494138213644e-02,-6.9388939039072284e-18,-3.2042864710529029e-02,4.6343281853784626e-02,3.2042864710529001e-02,0.0000000000000000e+00,1.2827635679997588e-04,8.8701888010050560e-05,-1.2827635679997591e-04,5.7220852992329288e-05,-1.8549720979230521e-04,-1.2827635679997588e-04,5.7220852992329301e-05,-1.8549720979230518e-04,-4.7741737994712614e-20,-6.0701038982778542e-21,4.1090705718983788e-05,3.2661927767947100e-08,1.6149789458289049e-05,5.2304112711493275e-08,1.8554951390501668e-04,0.0000000000000000e+00,-3.9574468789925320e-05,5.2041704279304213e-17,9.3541566626854152e-17,2.7755575615628914e-15,4.0511265986694703e-02,-4.1869861747710991e-19
9,6.6347726003871598e-03,1.8427817492575893e-03,1.5781272865370973e-03,-1.5543122344752192e-14,1.5543122344752192e-14,0.0000000000000000e+00,4.7053690745193999e-17,-5.6710151886684615e-02,2.5487801810425838e-02,-8.2197953697110457e-02,-5.6710151886684622e-02,6.9388939039072284e-18,1.5897977447121530e-18,-5.6710151886684629e-02,2.5487801810425842e-02,-8.2197953697110471e-02,6.9388939039072284e-18,-3.9203729141353325e-02,5.6710151886684629e-02,3.9203729141353408e-02,0.0000000000000000e+00,2.0959207467856453e-04,1.4491998492529147e-04,-2.0959207467856456e-04,9.3709534169734304e-05,-3.0330160884829889e-04,-2.0959207467856453e-04,9.3709534169734331e-05,-3.0330160884829889e-04,-5.5295571673816969e-20,-6.0701038982778542e-21,6.3767825894796632e-05,7.8861039478137118e-08,3.0010498247208823e-05,1.4765101174929354e-07,3.0344925986004815e-04,0.0000000000000000e+00,-6.4672089753273058e-05,1.7347234759768071e-17,5.2224492970596495e-17,3.8857805861880479e-15,4.8386133568332906e-02,-5.8681419864552948e-19
10,8.5345821980970949e-03,2.3704463226477883e-03,1.8998095977099351e-03,-8.1601392309949006e-14,8.1601392309949006e-14,0.0000000000000000e+00,5.6997588157246186e-17,-6.7784257666708897e-02,3.0585508416578810e-02,-9.8369766083287707e-02,-6.7784257666708897e-02,0.0000000000000000e+00,2.6832410822786574e-18,-6.7784257666708911e-02,3.0585508416578814e-02,-9.8369766083287721e-02,1.3877787807814457e-17,-4.6847194644971613e-02,6.7784257666708911e-02,4.6847194644971633e-02,0.0000000000000000e+00,3.2784991174394874e-04,2.2666017037582470e-04,-3.2784991174394874e-04,1.4697384064204936e-04,-4.7482375238599810e-04,-3.2784991174394874e-04,1.4697384064204938e-04,-4.7482375238599821e-04,-5.1236591586364795e-20,1.3703761955923015e-20,9.4996284904861323e-05,1.7431149514030050e-07,5.2082427419293583e-05,2.7918317724583445e-07,4.7510293556324393e-04,0.0000000000000000e+00,-1.0118974136812405e-04,6.9388939039072284e-17,1.4822837374206639e-16,2.7755575615628914e-15,5.6419879541419374e-02,-7.2041494193607818e-19
