step,t_dless,t_phys_s,dt_dless,min_cone_margin_MPa,max_cone_violation_MPa,max_positive_friction_power,max_abs_normal_power_closed,p_contact_total,p_contact_pert,p_offset,p_contact_metric,p_contact_metric_mismatch,p_normal_total,p_tangent_total,p_tangent_pert,p_tangent_offset,p_cross_metric,p_friction_lumped,d_fric_rate,d_fric_lumped_rate,friction_injection_rate,D_fric,D_fric_lumped,W_contact_total,W_contact_pert,W_offset_external,W_tangent_total,W_tangent_pert,W_tangent_offset,W_normal_total,W_cross_metric,KE,W_elastic,D_vis,bulk_residual_pert,bulk_residual_total,interface_residual_D_fric_plus_W_tangent,coulomb_lumped_residual,endpoint_res_inf,endpoint_res_l2,endpoint_force_res_inf,max_abs_vt,min_gap
10,2.1637406893136308e-03,6.0097038625868252e-04,4.9843932625929892e-04,-1.6708856520608606e-13,1.6708856520608606e-13,0.0000000000000000e+00,8.1222320280798779e-17,-3.1555263818315957e-02,1.4114436464701546e-02,-4.5669700283017506e-02,-3.1555263818315957e-02,0.0000000000000000e+00,-1.6883787361093593e-17,-3.1555263818315943e-02,1.4114436464701546e-02,-4.5669700283017492e-02,0.0000000000000000e+00,-2.1521581308260720e-02,3.1555263818315943e-02,2.1521581308260745e-02,0.0000000000000000e+00,3.6783671299770834e-05,2.5099785395268456e-05,-3.6783671299770847e-05,1.6408338246491525e-05,-5.3192009546262369e-05,-3.6783671299770834e-05,1.6408338246491525e-05,-5.3192009546262369e-05,-1.2586299891109737e-20,-8.8669789016458892e-22,1.2170832740341626e-05,4.0810388481958995e-09,4.0250771263433669e-06,-2.0834734095833516e-07,5.2983662205304037e-05,0.0000000000000000e+00,-1.1683885904502378e-05,8.3844968005545680e-17,1.4376707956641463e-16,8.3266726846886741e-15,2.6103806799174158e-02,-2.8070385673285455e-19
11,2.8437494649170801e-03,7.8984012400130129e-04,6.8000877560344926e-04,-1.7874590696465020e-13,1.7874590696465020e-13,0.0000000000000000e+00,9.5159702554657233e-17,-3.9056215951127876e-02,1.7506235364677897e-02,-5.6562451315805770e-02,-3.9056215951127876e-02,0.0000000000000000e+00,5.1460959586036954e-18,-3.9056215951127883e-02,1.7506235364677897e-02,-5.6562451315805784e-02,0.0000000000000000e+00,-2.6626841793246762e-02,3.9056215951127883e-02,2.6626841793246786e-02,0.0000000000000000e+00,6.0791884250554446e-05,4.1470460515514944e-05,-6.0791884250554459e-05,2.7159505413718922e-05,-8.7951389664273381e-05,-6.0791884250554446e-05,2.7159505413718922e-05,-8.7951389664273381e-05,-1.6577166470618882e-20,-8.8669789016458892e-22,1.9233531184031436e-05,9.8561414984696194e-09,7.6888217346260076e-06,-2.2729635356300685e-07,8.7724093310710371e-05,0.0000000000000000e+00,-1.9321423735039502e-05,9.2518585385429716e-17,1.7007369094679460e-16,4.4408920985006262e-15,3.1580479431136413e-02,-1.5468120981991535e-19
12,3.7831535566841324e-03,1.0507558809912559e-03,9.3940409176705231e-04,-1.0491607582707729e-13,1.0491607582707729e-13,0.0000000000000000e+00,4.4785630856428500e-17,-4.8292661028060832e-02,2.1701412281780665e-02,-6.9994073309841504e-02,-4.8292661028060832e-02,0.0000000000000000e+00,-1.4515209471967330e-17,-4.8292661028060818e-02,2.1701412281780665e-02,-6.9994073309841476e-02,0.0000000000000000e+00,-3.2907640734323555e-02,4.8292661028060818e-02,3.2907640734323569e-02,0.0000000000000000e+00,1.0181983047330781e-04,6.9433928759331782e-05,-1.0181983047330783e-04,4.5575417727540929e-05,-1.4739524820084874e-04,-1.0181983047330781e-04,4.5575417727540929e-05,-1.4739524820084874e-04,-2.0977858255960775e-20,-8.8669789016458892e-22,3.0671854740262812e-05,2.4250074693268971e-08,1.4668832676922833e-05,-2.1048023566201419e-07,1.4718476796518674e-04,0.0000000000000000e+00,-3.2385901713976025e-05,6.9388939039072284e-17,1.3046612193222768e-16,3.5157062446463292e-15,3.7978814485358593e-02,-1.6810032928658736e-19
13,5.0464279943808745e-03,1.4016253407758094e-03,1.2632744376967421e-03,-1.1268763699945339e-13,1.1268763699945339e-13,0.0000000000000000e+00,5.8593600645669276e-17,-5.9204386696235900e-02,2.6684248244456275e-02,-8.5888634940692182e-02,-5.9204386696235893e-02,-6.9388939039072284e-18,2.7381389108032913e-17,-5.9204386696235928e-02,2.6684248244456275e-02,-8.5888634940692210e-02,6.9388939039072284e-18,-4.0320017714968279e-02,5.9204386696235928e-02,4.0320017714968320e-02,0.0000000000000000e+00,1.6971896673229322e-04,1.1568724328502093e-04,-1.6971896673229325e-04,7.6137601774474645e-05,-2.4585656850676784e-04,-1.6971896673229322e-04,7.6137601774474645e-05,-2.4585656850676784e-04,-1.2851100333432763e-20,3.4961657571832889e-21,4.8608876029252577e-05,5.8745513638103849e-08,2.7326390349361682e-05,-1.4358988222228021e-07,2.4571297862454558e-04,0.0000000000000000e+00,-5.4031723447272288e-05,1.0408340855860843e-16,2.4654578343557040e-16,3.7007434154171887e-15,4.5099149400278954e-02,-2.1356791300816187e-19
14,6.6308002648260509e-03,1.8416784488259346e-03,1.5843722704451764e-03,-8.9372953482325102e-14,8.9372953482325102e-14,0.0000000000000000e+00,5.1866874718497132e-17,-7.1149601843255278e-02,3.2175064480708296e-02,-1.0332466632396357e-01,-7.1149601843255278e-02,0.0000000000000000e+00,-3.9595035179960890e-17,-7.1149601843255222e-02,3.2175064480708296e-02,-1.0332466632396352e-01,-1.3877787807814457e-17,-4.8425963265908006e-02,7.1149601843255222e-02,4.8425963265908055e-02,0.0000000000000000e+00,2.7298358912424225e-04,1.8599057897479871e-04,-2.7298358912424231e-04,1.2276513324408048e-04,-3.9574872236832273e-04,-2.7298358912424225e-04,1.2276513324408048e-04,-3.9574872236832273e-04,-2.2526581412129931e-20,-2.0007297872725555e-21,7.4501840844069580e-05,1.3286556007372923e-07,4.8064153061650579e-05,-6.6273778286590279e-08,3.9568244859003617e-04,0.0000000000000000e+00,-8.6993010149443540e-05,6.9388939039072284e-17,1.5790113385189194e-16,2.7755575615628914e-15,5.2427257082372038e-02,-2.8025233667008842e-19
15,8.4723807638527812e-03,2.3531701212303685e-03,1.8415804990267303e-03,-1.9040324872321435e-13,1.9040324872321435e-13,0.0000000000000000e+00,1.1274972970440796e-16,-8.3378545096649270e-02,3.7832614935674580e-02,-1.2121116003232385e-01,-8.3378545096649270e-02,0.0000000000000000e+00,6.4541691425239015e-18,-8.3378545096649284e-02,3.7832614935674580e-02,-1.2121116003232386e-01,1.3877787807814457e-17,-5.6716980582657707e-02,8.3378545096649284e-02,5.6716980582657700e-02,0.0000000000000000e+00,4.1527160010187492e-04,2.8280517647568933e-04,-4.1527160010187497e-04,1.8722752184174336e-04,-6.0249912194361823e-04,-4.1527160010187492e-04,1.8722752184174336e-04,-6.0249912194361823e-04,-5.3042367719830544e-20,-2.0007297872725555e-21,1.0860254691688361e-04,2.7175383688935143e-07,7.8425728086026157e-05,7.2506998055756706e-08,6.0257162894167412e-04,0.0000000000000000e+00,-1.3246642362618559e-04,1.0408340855860843e-16,2.2436353072953138e-16,4.4408920985006262e-15,5.9523919717615989e-02,-4.6496975853814815e-19
16,1.0689198701004229e-02,2.9688825023557091e-03,2.2168179371514479e-03,-1.3600232051658168e-13,1.3600232051658168e-13,0.0000000000000000e+00,1.3050466090391997e-16,-9.6377156253369983e-02,4.3887484293398706e-02,-1.4026464054676868e-01,-9.6377156253369969e-02,-1.3877787807814457e-17,-2.8795757895586911e-17,-9.6377156253369956e-02,4.3887484293398712e-02,-1.4026464054676868e-01,1.3877787807814457e-17,-6.5522311514265519e-02,9.6377156253369956e-02,6.5522311514265477e-02,0.0000000000000000e+00,6.1451443163085566e-04,4.1829630414826660e-04,-6.1451443163085566e-04,2.7780681274014630e-04,-8.9232124437100191e-04,-6.1451443163085566e-04,2.7780681274014630e-04,-8.9232124437100191e-04,-7.7805985065956110e-20,2.8763799153072202e-20,1.5429892440491590e-04,5.2898131457921481e-07,1.2323153481907714e-04,2.5262779842594001e-07,8.9257387216942785e-04,0.0000000000000000e+00,-1.9621812748258906e-04,6.9388939039072284e-17,1.6873548632260092e-16,3.7007434154171887e-15,6.6691670985044887e-02,-4.6993927646423197e-19
17,1.3445301541387924e-02,3.7343791243559426e-03,2.7561028403836948e-03,-1.5543122344752192e-13,1.5543122344752192e-13,0.0000000000000000e+00,9.5849326306166766e-17,-1.1061418713456719e-01,5.0568786850658611e-02,-1.6118297398522580e-01,-1.1061418713456721e-01,1.3877787807814457e-17,-6.4013005715036151e-17,-1.1061418713456714e-01,5.0568786850658617e-02,-1.6118297398522574e-01,0.0000000000000000e+00,-7.5158318483196040e-02,1.1061418713456714e-01,7.5158318483195929e-02,0.0000000000000000e+00,8.9975914635402067e-04,6.1216144610975207e-04,-8.9975914635402089e-04,4.0797241133624072e-04,-1.3077315576902615e-03,-8.9975914635402067e-04,4.0797241133624072e-04,-1.3077315576902615e-03,-2.0570123356582467e-19,4.7888104350752019e-20,2.1687588776712910e-04,1.0101309618337822e-06,1.9057904806431194e-04,4.9265545703407534e-07,1.3082242131472956e-03,0.0000000000000000e+00,-2.8759770024426861e-04,9.2518585385429716e-17,1.7815459015481919e-16,3.7007434154171887e-15,7.4352870430979670e-02,-4.7257863943865185e-19
18,1.6768574179915993e-02,4.6574049060879768e-03,3.3232726385280693e-03,-1.0491607582707729e-13,1.0491607582707729e-13,0.0000000000000000e+00,9.5686615317657376e-17,-1.2567957783220091e-01,5.7703849826747880e-02,-1.8338342765894877e-01,-1.2567957783220088e-01,-2.7755575615628914e-17,-1.6938569822774376e-17,-1.2567957783220085e-01,5.7703849826747873e-02,-1.8338342765894872e-01,0.0000000000000000e+00,-8.5346283794759475e-02,1.2567957783220085e-01,8.5346283794759489e-02,0.0000000000000000e+00,1.2923934482384420e-03,8.7886172266383165e-04,-1.2923934482384422e-03,5.8788215682189864e-04,-1.8802756050603406e-03,-1.2923934482384420e-03,5.8788215682189864e-04,-1.8802756050603406e-03,-3.4021331158109663e-19,4.7888104350752019e-20,2.9916585862372138e-04,1.8658822129552859e-06,2.8764770151288915e-04,7.9728552766712875e-07,1.8810728905880080e-03,0.0000000000000000e+00,-4.1353172557461034e-04,1.3877787807814457e-16,2.5906752721866675e-16,2.5905203907920322e-15,8.2402993942766178e-02,-7.3221713623910437e-19
19,2.0540377747943199e-02,5.7050083727900004e-03,3.7718035680272058e-03,-6.2172489379008766e-14,6.2172489379008766e-14,0.0000000000000000e+00,9.3097496020374097e-17,-1.4069985948381122e-01,6.4890817686316576e-02,-2.0559067717012780e-01,-1.4069985948381125e-01,2.7755575615628914e-17,1.9539866935044461e-17,-1.4069985948381125e-01,6.4890817686316563e-02,-2.0559067717012780e-01,-2.7755575615628914e-17,-9.5495493819636554e-02,1.4069985948381125e-01,9.5495493819636568e-02,0.0000000000000000e+00,1.7947589042972489e-03,1.2199115536910125e-03,-1.7947589042972491e-03,8.1908365899534133e-04,-2.6138425632925904e-03,-1.7947589042972489e-03,8.1908365899534133e-04,-2.6138425632925904e-03,-3.3530752071631702e-19,-4.4561852190870036e-21,3.9976634459274656e-04,3.2537993471428237e-06,4.1722211915513657e-04,1.1586040996845737e-06,2.6150011673922750e-03,0.0000000000000000e+00,-5.7484735060623639e-04,1.3877787807814457e-16,3.4644319039798194e-16,2.0354088784794539e-15,9.0099127583543548e-02,-6.9755815960157995e-19
