node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-6.6666666666666630e-01,1.1000000000000000e+01,8.2679491924311233e+00,0.0000000000000000e+00,-3.8244726756701014e-13,-1.3789481454012135e-03,6.4401100825870611e-16,-1.7471588930201463e-05,4.0096293367625989e+01,2.4057776020448461e+01,1.2713030628219713e-10,2.9413441991282620e-12,-1.2009359234403815e-05,sliding
1,-3.3333333333333337e-01,1.0500000000000000e+01,9.1339745962155607e+00,0.0000000000000000e+00,-9.2739057681366901e-15,-1.9171845196318551e-03,1.1631236203129766e-15,-2.4352078608807458e-05,3.9853225062202320e+01,2.3911935037001292e+01,3.2009950245992513e-10,7.7962442947775742e-12,-1.6637294905992936e-05,sliding
2,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,-2.0525088297203193e-12,-2.1215568428562597e-03,-9.8229043070719049e-16,-2.7319566200357440e-05,3.9980683429534714e+01,2.3988410058042184e+01,-3.2135716310222051e-10,1.0300096146983529e-11,-1.8724370189200107e-05,sliding
3,3.3333333333333370e-01,9.5000000000000000e+00,1.0866025403784439e+01,0.0000000000000000e+00,-7.6970010717202785e-15,-1.9171845196262207e-03,5.2687058681817264e-16,-2.4352075337393943e-05,3.9853225062200934e+01,2.3911935037031498e+01,2.8906299576192396e-10,6.8106489955164461e-12,-1.6637292670990311e-05,sliding
4,6.6666666666666763e-01,8.9999999999999982e+00,1.1732050807568879e+01,2.5121479338940403e-15,-1.3257612588248320e-15,-1.3789481453866095e-03,6.2212875909933851e-17,-1.7471580597102814e-05,4.0096293367646481e+01,2.4057776020513298e+01,7.4589223686416517e-11,2.0561921490753360e-12,-1.2009353506555586e-05,sliding
