node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-8.7500000000000044e-01,1.1312500000000000e+01,7.7266833150658476e+00,0.0000000000000000e+00,-2.8358482617876740e-15,-8.9192466658947643e-04,-1.1979044871931327e-15,-1.4233163774474343e-05,4.0509334014462496e+01,2.4305600408517197e+01,1.6029844118747860e-10,1.9475302443505047e-12,-9.8841597500387357e-06,sliding
1,-7.5000000000000000e-01,1.1125000000000000e+01,8.0514428414850130e+00,0.0000000000000000e+00,1.9388647862821266e-15,-1.3999173731777967e-03,3.2682427456628277e-16,-2.2615351512971955e-05,3.9767353387470848e+01,2.3860412032698562e+01,-2.1605472966257366e-10,6.6839493583863271e-12,-1.5417474438966390e-05,sliding
2,-6.2500000000000000e-01,1.0937500000000000e+01,8.3762023679041775e+00,0.0000000000000000e+00,-5.2537456609162129e-15,-1.7371589300292656e-03,-1.1035551812643707e-15,-2.8793877545947588e-05,3.9757164740973515e+01,2.3854298845016892e+01,-4.3278447492411942e-10,1.1102670942076600e-11,-1.9624507425367296e-05,sliding
3,-5.0000000000000000e-01,1.0750000000000000e+01,8.7009618943233420e+00,0.0000000000000000e+00,3.9628451507955782e-15,-1.9465931168557318e-03,7.1424359211324367e-16,-3.2919214406396365e-05,3.9950884588285732e+01,2.3970530752841093e+01,1.3034551216151158e-10,5.2476352892362143e-12,-2.2545458322511249e-05,sliding
4,-3.7500000000000000e-01,1.0562500000000000e+01,9.0257214207425065e+00,0.0000000000000000e+00,3.1768674269625289e-15,-2.1102062535330842e-03,1.0376966755494543e-15,-3.6238629844195124e-05,4.0154292290024429e+01,2.4092575373782275e+01,2.3238300173034077e-10,8.3425193758302356e-12,-2.4945197741824765e-05,sliding
5,-2.5000000000000022e-01,1.0375000000000000e+01,9.3504809471616710e+00,0.0000000000000000e+00,-3.7900952079596845e-15,-2.2120288171084551e-03,-1.0188645920331495e-15,-3.8401233428838759e-05,3.9857926289953710e+01,2.3914755774147572e+01,-1.7534773633087752e-10,4.9595449173877910e-12,-2.6238746253620298e-05,sliding
6,-1.2500000000000000e-01,1.0187500000000000e+01,9.6752404735808355e+00,0.0000000000000000e+00,6.0019771930482598e-16,-2.2787143937123373e-03,-1.7150850170947161e-16,-3.9853949214540302e-05,3.9899705813269556e+01,2.3939823487602052e+01,3.5968028555544151e-10,7.9219283743261962e-12,-2.7259900270855752e-05,sliding
7,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,-2.0620029493918824e-15,-2.2890171253144875e-03,-8.2914615583423103e-16,-4.0051518934018837e-05,3.9986586845155863e+01,2.3991952107445929e+01,-3.5241143336861569e-10,1.0833639711614164e-11,-2.7454689259869823e-05,sliding
8,1.2499999999999822e-01,9.8125000000000036e+00,1.0324759526419159e+01,3.5527136788005009e-15,-3.5759996773762200e-15,-2.2787143937156480e-03,2.2805164670402577e-16,-3.9853819498784343e-05,3.9899705813258059e+01,2.3939823487598705e+01,3.5613112459031981e-10,8.8334065931636629e-12,-2.7259811545929045e-05,sliding
9,2.5000000000000044e-01,9.6250000000000000e+00,1.0649519052838331e+01,0.0000000000000000e+00,8.9915153118663391e-16,-2.2120288171149929e-03,-3.5609942728928590e-16,-3.8401202091371849e-05,3.9857926289940906e+01,2.3914755774117413e+01,-1.5286971688510675e-10,4.5887312273535832e-12,-2.6238724841362420e-05,sliding
10,3.7499999999999889e-01,9.4375000000000018e+00,1.0974278579257490e+01,1.7763568394002505e-15,-1.2352652399668946e-15,-2.1102062535437536e-03,5.1282606137716045e-16,-3.6238619657476156e-05,4.0154292289976020e+01,2.4092575373700789e+01,2.8482105562943616e-10,9.0831184041708624e-12,-2.4945190729617696e-05,sliding
11,5.0000000000000044e-01,9.2500000000000000e+00,1.1299038105676660e+01,0.0000000000000000e+00,-2.1340807096064957e-15,-1.9465931168728709e-03,-5.5665311227658110e-17,-3.2919210653369159e-05,3.9950884588275997e+01,2.3970530752781617e+01,1.8398083057036274e-10,6.4560195077432505e-12,-2.2545455752110905e-05,sliding
12,6.2499999999999956e-01,9.0625000000000000e+00,1.1623797632095821e+01,0.0000000000000000e+00,-3.2157823249852790e-16,-1.7371589300564879e-03,-6.5350963572921583e-16,-2.8793808010613537e-05,3.9757164740881578e+01,2.3854298844380089e+01,1.4885515042806219e-10,3.5832961566775893e-12,-1.9624460032939447e-05,sliding
13,7.5000000000000089e-01,8.8749999999999982e+00,1.1948557158514989e+01,2.5121479338940403e-15,-2.3478510315687382e-15,-1.3999173731939305e-03,-1.0284740961094764e-15,-2.2615340573427464e-05,3.9767353387468546e+01,2.3860412032640152e+01,-1.5902656969046802e-10,3.9450212923709326e-12,-1.5417466981156108e-05,sliding
14,8.7499999999999933e-01,8.6875000000000000e+00,1.2273316684934150e+01,0.0000000000000000e+00,2.5910889744637294e-15,-8.9192466659707983e-04,1.0259415523074591e-15,-1.4233156821282560e-05,4.0509334014429960e+01,2.4305600408461373e+01,1.9660362227114092e-10,7.4842711357290049e-12,-9.8841549214017202e-06,sliding
