level,n_elem_target,n_elem_actual,n_c,h_eff,err_l2,ref_l2,rel_l2,rate,err_node_l2,ref_node_l2,rel_node_l2,gap_shift_rel,min_gap,final_cone_margin_abs,adjoint_rel,delassus_sym_rel,delassus_min_eig,patch_all_inf,soc_res_inf,max_friction_power_pos,n_open,n_sticking,n_sliding,n_other_active,contact_ok,t_build_s,t_solve_s,t_total_s,n_acc,n_rej
0,20,1016,5,6.274558e-01,1.021700e-03,4.406457e-03,0.231864,,9.213061e-04,4.406717e-03,0.209069,3.117808e-15,-7.547977e-15,1.511498e-09,2.507446e-16,4.452097e-16,3.779915e-01,2.220446e-16,3.693397e-11,0.000000e+00,0,0,5,0,1,0.690,47.614,48.304,1,0
1,30,2410,8,4.074004e-01,6.765656e-04,4.436556e-03,0.152498,0.954,7.416104e-04,5.439770e-03,0.136331,6.364337e-15,-4.692161e-15,6.301661e-10,3.883773e-16,9.576686e-16,2.356239e-01,1.554312e-15,1.316373e-11,0.000000e+00,0,0,8,0,1,0.753,59.532,60.285,1,0
2,40,4170,11,3.097148e-01,4.732184e-04,4.447113e-03,0.106410,1.304,5.944938e-04,6.298457e-03,0.094387,5.646808e-15,-7.945616e-15,2.262794e-10,1.798111e-16,5.433759e-16,1.723457e-01,1.332268e-15,4.550249e-12,0.000000e+00,0,0,11,0,1,1.483,87.134,88.617,1,0
3,50,6632,14,2.455883e-01,4.091088e-04,4.452023e-03,0.091893,0.627,5.978850e-04,7.050747e-03,0.084797,7.957672e-15,-6.262413e-15,4.403304e-10,5.529563e-16,1.235876e-15,1.362470e-01,1.110223e-15,1.185533e-11,0.000000e+00,0,0,14,0,1,3.044,130.151,133.195,1,0
4,60,9498,17,2.052173e-01,2.694562e-04,4.454705e-03,0.060488,2.325,4.220465e-04,7.728973e-03,0.054606,1.213716e-14,-6.934340e-15,4.289227e-10,6.708873e-16,9.212521e-16,1.127991e-01,6.661338e-16,9.917252e-12,0.000000e+00,0,0,17,0,1,4.620,164.457,169.077,1,0
5,70,12938,20,1.758314e-01,2.212810e-04,4.456332e-03,0.049655,1.275,3.864612e-04,8.351673e-03,0.046274,2.062544e-14,-4.774594e-15,6.362342e-10,8.145446e-16,2.677473e-15,9.630183e-02,1.332268e-15,1.513845e-11,0.000000e+00,0,0,20,0,1,7.289,238.508,245.797,1,0
