node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-9.2304046545782026e-01,1.1384560698186730e+01,7.6018705245775458e+00,1.5173998566320335e-01,-1.8136533941337518e-15,-4.1430302902046722e-04,-9.6846359057267684e-17,-1.0925620845429340e-05,9.0701513386354108e+01,5.4420908032486444e+01,-6.7397820657788543e-10,2.6099195759308540e-11,-1.6988063063626482e-05,sliding
1,-8.4480345130264456e-01,1.1267205176953967e+01,7.8051362499014196e+00,9.8852119531352506e-02,2.2065682614424986e-15,-1.1279750726082487e-03,6.2636392383561001e-17,-2.8091229756205373e-05,2.4822062345243360e+01,1.4893237407165989e+01,-1.9973356302216416e-11,2.3348323090561102e-13,-1.1953410109097492e-05,sliding
2,-7.6873128138172775e-01,1.1153096922072592e+01,8.0027775449189811e+00,4.8356128061888319e-02,4.1697769299303693e-16,-1.4691247884677488e-03,5.0300204539749371e-17,-3.7907333410577245e-05,4.0338781335795872e+01,2.4203268801489745e+01,-1.2221335055073723e-11,2.3251789459347019e-12,-2.6213753716682689e-05,sliding
3,-6.9057632607566721e-01,1.1035864489113500e+01,8.2058300750990387e+00,4.4277375196819874e-02,-1.9270641196399093e-15,-1.6928434797733442e-03,-6.2504255243789331e-17,-4.4064811728725201e-05,4.0520390336480617e+01,2.4312234201896050e+01,-7.6809669735666830e-12,2.5657260771420655e-13,-3.0608972080320659e-05,sliding
4,-6.1627790698707796e-01,1.0924416860480617e+01,8.3988630302742617e+00,8.8722235506452141e-02,-1.3677210405904638e-15,-1.8932548178989983e-03,-8.1329986012989783e-17,-4.9305434446946676e-05,3.9838397522912331e+01,2.3903038513748530e+01,-1.1333156635373598e-12,4.9604080716451101e-13,-3.3672848529213424e-05,sliding
5,-5.0838454890647766e-01,1.0762576823359716e+01,8.6791781972664932e+00,7.8963442860800800e-02,-5.1925792148689227e-15,-2.0969988375982226e-03,-4.4059265784379686e-17,-5.5575260034943789e-05,3.8364600080807243e+01,2.3018760048494013e+01,-9.6669339200161630e-12,1.2451571632604770e-12,-3.6550673582200861e-05,sliding
6,-3.9453889012749976e-01,1.0591808335191249e+01,8.9749578951060034e+00,2.9038270822397461e-02,-1.2125717097077882e-15,-2.2384191563968158e-03,-2.4033712845393518e-17,-6.0575480497307736e-05,3.9974856307184446e+01,2.3984913784294449e+01,1.6218137943724287e-11,1.6766771757269848e-13,-4.1511362204861030e-05,sliding
7,-3.0326155626517803e-01,1.0454892334397767e+01,9.2121033648494564e+00,5.1257768769323676e-02,-2.5513355090329573e-15,-2.3264618136144815e-03,-2.6856463377008275e-17,-6.3485833042293871e-05,4.1214427833876378e+01,2.4728656700280514e+01,4.5311310259421589e-11,1.4796050954241907e-12,-4.4854839160977436e-05,sliding
8,-2.2324064463727544e-01,1.0334860966955913e+01,9.4200037917607151e+00,2.8388771061782028e-02,-5.5769798785441759e-16,-2.3936817630447241e-03,-3.4220131069073734e-17,-6.5517711621446438e-05,3.7837818504159699e+01,2.2702691102441161e+01,5.4658499948345707e-11,2.1438594261065118e-12,-4.2497953390871943e-05,sliding
9,-1.3764873863321925e-01,1.0206473107949829e+01,9.6423780866342437e+00,6.9949414198545556e-02,4.0444315424177355e-15,-2.4257269472331101e-03,-1.9728456132736723e-17,-6.6837184782647744e-05,3.7775264841527317e+01,2.2665158904896280e+01,2.0108359422010835e-11,1.3243709465267175e-13,-4.3282154681560763e-05,sliding
10,-6.4831490772451983e-02,1.0097247236158678e+01,9.8315628460775208e+00,1.0767378404617566e-01,-3.4211809414779419e-15,-2.4584238823107799e-03,9.9272261418204000e-19,-6.7585366013871525e-05,4.3680631676691618e+01,2.6208379006041948e+01,-2.6979307676811004e-11,2.9643638763411073e-13,-5.0608653935817471e-05,sliding
11,3.3373449286271395e-03,9.9949939826070597e+00,1.0008670676468148e+01,1.2399753391593504e-02,-2.1964546833775931e-15,-2.4842049501868739e-03,1.5045952121196544e-17,-6.8002061522330596e-05,3.9885060807403114e+01,2.3931036484447610e+01,-5.7411853049416095e-12,1.3571514299102533e-12,-4.6495994723101267e-05,sliding
12,1.2266346547167428e-01,9.8160048017924879e+00,1.0318689031644116e+01,1.1063116763895352e-01,4.1298842354065647e-15,-2.4605925733314836e-03,-5.1882462085220404e-17,-6.7840701604376024e-05,3.8454937057477295e+01,2.3072962234500938e+01,-1.4562573369403253e-11,2.5204104777980932e-13,-4.4722455602280440e-05,sliding
13,2.1328690299384445e-01,9.6800696455092332e+00,1.0554135628861530e+01,8.2217688647411562e-03,2.3883076506053813e-15,-2.4087648952940571e-03,7.8531415625041176e-17,-6.7133071178953339e-05,4.1306872409934996e+01,2.4784123445950247e+01,1.0750511592050316e-11,5.6892024547361943e-13,-4.7538123525855544e-05,sliding
14,2.8185574432734684e-01,9.5772163835089792e+00,1.0732282704370162e+01,5.2399599220044668e-02,-2.1814831414004994e-15,-2.3676236222930219e-03,3.5609265102570786e-17,-6.6422960218445455e-05,4.1187909781978426e+01,2.4712745869167836e+01,1.9220181002310710e-11,5.1330389232164131e-13,-4.6899821021608216e-05,sliding
15,3.5276036099222230e-01,9.4708594585116668e+00,1.0916498302202301e+01,4.7577491663037388e-02,2.6302744704498338e-15,-2.3151224468075113e-03,-1.5480268264901186e-17,-6.5663030085365119e-05,3.6040086990634506e+01,2.1624052194386877e+01,-6.1746163737552706e-12,3.8188865726210832e-13,-4.0568593994500886e-05,sliding
16,4.2906070997987689e-01,9.3564089350301849e+00,1.1114732423825082e+01,1.6441003698824494e-01,4.5665850193170784e-15,-2.2704263302925245e-03,9.7713720795256087e-18,-6.2244163201573209e-05,4.1269169634376802e+01,2.4761501780609130e+01,1.6949996961557190e-11,1.6311457878147077e-12,-4.4035970227093722e-05,sliding
17,4.8538523738313044e-01,9.2719221439253037e+00,1.1261067838587193e+01,5.3035149854241976e-03,-7.9965176750265931e-16,-2.2194019067764002e-03,5.8819106057861489e-17,-6.0114745399576191e-05,4.2714069672805870e+01,2.5628441803673027e+01,1.0494716207176680e-11,8.2766342235569996e-13,-4.4018492971875978e-05,sliding
18,5.5833872572175935e-01,9.1624919114173604e+00,1.1450606561175027e+01,4.4952516027912844e-02,3.0607642732497524e-15,-2.1072393141144158e-03,7.6876710292800299e-18,-5.7576003550201859e-05,3.8630282574571915e+01,2.3178169544764369e+01,-2.1220358803475392e-11,9.6400416536901154e-14,-3.8128753485615256e-05,sliding
19,6.1876017188745269e-01,9.0718597421688205e+00,1.1607586083113679e+01,1.3759849315651967e-01,1.0148034780590145e-14,-2.0214567907155256e-03,-1.1779263680991928e-16,-5.5000815628157307e-05,5.8214353591378085e+01,3.4928612154762455e+01,6.4396488141937880e-11,1.5036147439466707e-12,-5.4888633064900117e-05,sliding
20,6.4178353037296221e-01,9.0373247044405574e+00,1.1667402523100341e+01,1.1465868466778421e-01,3.0980193253874878e-03,-1.9912237932053168e-03,6.2268388219155117e-07,-5.4290763831811281e-05,3.7303493627405260e-13,2.1371793224034263e-13,1.0103029524088925e-14,1.2283595982319897e-14,-3.3151170816809968e-19,open
21,6.9343974953522136e-01,8.9598403756971674e+00,1.1801609317274261e+01,4.7365924101420383e-02,5.1856842878531122e-15,-1.8013373054733860e-03,1.3475616564458115e-16,-4.7445855332839648e-05,5.2595512428211549e+01,3.1557307456892445e+01,3.4482638966437662e-11,1.1131961074510189e-12,-4.2778955551247451e-05,sliding
22,8.1175023122632295e-01,8.7823746531605149e+00,1.2108988965309663e+01,3.6223628797396448e-02,1.4206843167163807e-15,-1.5190900387871422e-03,-4.5808388820459817e-17,-3.8509117256975797e-05,3.4419924889195208e+01,2.0651954933491997e+01,2.5128343850155943e-11,4.3907262631739349e-13,-2.2722530117703519e-05,sliding
23,9.0643885985270245e-01,8.6403417102209463e+00,1.2354997238829528e+01,1.0130570535396136e-02,4.1685405127722674e-15,-1.2232051055600169e-03,-5.1885850217009422e-17,-3.0119339387821036e-05,4.5382954070131568e+01,2.7229772442142281e+01,-6.3341332179334131e-11,2.5116202688052318e-12,-2.3432650218229138e-05,sliding
24,9.8625830200477216e-01,8.5206125469928420e+00,1.2562374232688313e+01,5.0521321287585748e-02,1.3650105351592501e-16,-8.2603754504957899e-04,3.3805084924919127e-18,-2.0526374756724428e-05,1.0213115580832451e+01,6.1278693485024638e+00,-2.9931612743894220e-12,1.1113111267688509e-13,-3.5937983630744668e-06,sliding
