node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-1.0000000000000000e+00,1.1500000000000000e+01,7.4019237886466840e+00,1.5775929157396684e-01,-1.9870082499816378e-16,-9.3958097345040153e-04,9.7964442547643360e-17,-3.5043855014576490e-05,4.3385858103756931e+01,2.6031514862307056e+01,-5.2896353963660658e-11,4.8756796053889376e-13,-2.6064132361270900e-05,sliding
1,-8.8465471307032695e-01,1.1326982069605490e+01,7.7015996347103908e+00,7.4064416052887411e-02,2.4903075148655032e-15,-1.5505907351397255e-03,9.3315925733111760e-17,-5.7413905884259743e-05,3.9192400861828176e+01,2.3515440517149127e+01,-5.2221338364688563e-11,1.0743097508998048e-12,-3.8574665390814523e-05,sliding
2,-7.5884103261400071e-01,1.1138261548921001e+01,8.0284731649667798e+00,4.1267677267787448e-02,-2.5476144428689916e-15,-1.9117735375360249e-03,-2.0454151610296845e-16,-7.2746279306540296e-05,4.0590891310219142e+01,2.4354534786185901e+01,-5.4416915418187273e-11,8.0779818116505769e-13,-5.0620051141049464e-05,sliding
3,-6.5720835631901320e-01,1.0985812534478519e+01,8.2925226035449580e+00,4.9815420531149943e-02,2.8588242884097781e-15,-2.1306833765076978e-03,-2.3233774930006557e-16,-8.2886244754362372e-05,3.9547346295460841e+01,2.3728407777235027e+01,4.1477932199995848e-11,7.9939512068224798e-13,-5.6193103275863375e-05,sliding
4,-5.5566869842711841e-01,1.0833503047640678e+01,8.5563303732228437e+00,4.2251843546705871e-03,-1.2420992782490731e-15,-2.3164037504569321e-03,8.0444413066635412e-17,-9.1539128321131816e-05,3.9713174801492634e+01,2.3827904880911984e+01,-1.6402879055021913e-11,2.3424491499954107e-13,-6.2319589786215008e-05,sliding
5,-4.2216008768380298e-01,1.0633240131525705e+01,8.9031959188058813e+00,1.0509428018001864e-01,1.1865508575681361e-15,-2.5081182153111887e-03,-2.1556310881264140e-16,-1.0153812608806509e-04,3.8228933840632536e+01,2.2937360304408625e+01,-2.9103830456733704e-11,3.9915174221326873e-13,-6.6543330934754917e-05,sliding
6,-2.9465464301593813e-01,1.0441981964523908e+01,9.2344647814154879e+00,1.1014392282728083e-01,4.5723777298627755e-16,-2.6104404029465072e-03,-4.6654998251240490e-17,-1.0830615502281884e-04,4.1042507070273786e+01,2.4625504242161174e+01,3.0979663279140368e-12,2.2846299316638993e-13,-7.6202676570474043e-05,sliding
7,-1.6911467796275526e-01,1.0253672016944133e+01,9.5606271781942880e+00,1.7277260262764754e-01,-2.1947716890775077e-15,-2.6811519348882190e-03,7.4903123525697779e-18,-1.1273021442447717e-04,4.1095668328778103e+01,2.4657400997294506e+01,-2.7643665134746698e-11,7.3540744078218323e-13,-7.9418117187866471e-05,sliding
8,-9.1321649691308071e-02,1.0136982474536962e+01,9.7627393943554708e+00,6.1034256279933571e-02,1.9738984752271094e-15,-2.7107228739488474e-03,-2.1961023223462245e-17,-1.1496599611012399e-04,3.6777180047460568e+01,2.2066308028444627e+01,3.1711522296973271e-11,7.7516966369955610e-13,-7.2482145227513231e-05,sliding
9,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,1.1342221146251078e-15,-2.7130661389849200e-03,-1.1008569578108921e-16,-1.1518089728821144e-04,4.1741571233240201e+01,2.5044942739925489e+01,1.8630430531629827e-11,9.1321722106519940e-13,-8.2419970780471267e-05,sliding
10,9.1498570642437160e-02,9.8627521440363441e+00,1.0237720259758946e+01,6.2153581647885682e-02,-2.3455196262989510e-15,-2.7097718099028372e-03,3.4965520062657518e-16,-1.1510948336327983e-04,3.6834697769035088e+01,2.2100818661426494e+01,-5.4427573559223674e-12,4.8699045535321968e-13,-7.2686109086352502e-05,sliding
11,1.6911467796275592e-01,9.7463279830558669e+00,1.0439372821805714e+01,1.7277260262764907e-01,-1.0983208982080864e-15,-2.6807434269835550e-03,-1.1000247479402148e-16,-1.1313178145286784e-04,4.1060250351911833e+01,2.4636150211122438e+01,2.4662938358233077e-11,6.4289127253165239e-13,-7.9632330329277928e-05,sliding
12,2.9465464301593736e-01,9.5580180354760937e+00,1.0765535218584510e+01,1.1014392282728237e-01,3.5214886562329184e-16,-2.6102897920768507e-03,7.8124495703224290e-18,-1.0900651284125843e-04,4.1163148265148095e+01,2.4697888959097281e+01,-8.4234841324359877e-12,5.1163469545028075e-13,-7.6920878570623210e-05,sliding
13,4.2216008768380342e-01,9.3667598684742952e+00,1.1096804081194119e+01,1.0509428018002018e-01,-1.7539969899240355e-15,-2.5103384587942981e-03,3.0594830054825328e-18,-1.0270784124737129e-04,3.8698408518271002e+01,2.3219045110936410e+01,2.6190605240117293e-11,7.9447639369815985e-13,-6.8136514261988828e-05,sliding
14,5.5566869842711797e-01,9.1664969523593225e+00,1.1443669626777154e+01,4.2251843546705871e-03,-3.9224173196717077e-15,-2.3434256725135922e-03,-6.1473101818348077e-17,-9.3973673209504774e-05,3.9732720670833487e+01,2.3839632402473782e+01,2.6307844791517709e-11,3.2201367848657861e-13,-6.4008509280708345e-05,sliding
15,6.6196402489295147e-01,9.0070539626605726e+00,1.1719832985846072e+01,4.4785088300303144e-02,-3.1763011129498426e-15,-2.1878197974906604e-03,-1.9102287026478981e-17,-8.6611700904534148e-05,4.0623646631623181e+01,2.4374187979011111e+01,-3.7204017644398846e-11,1.3091321268623528e-12,-6.0316853686542914e-05,sliding
16,7.6026692697338061e-01,8.8595996095399290e+00,1.1975231417248228e+01,4.4798278325681937e-02,1.1928392301685520e-15,-2.0217906834874761e-03,2.9968555069449180e-16,-7.8590046558302073e-05,4.2211793431298226e+01,2.5327076058796361e+01,-1.7426060594516457e-11,1.1372185121675653e-12,-5.6870173904184682e-05,sliding
17,9.0226497429103980e-01,8.6466025385634406e+00,1.2344153166042862e+01,1.4356352253559765e-01,-9.1593399531575415e-16,-1.7161791762962933e-03,-1.9325903724554117e-17,-6.6552800194396593e-05,4.5588704950477123e+01,2.7353222970307485e+01,-2.1213253376117791e-11,8.7984666869357067e-14,-5.2012388086161524e-05,sliding
18,9.4318757379202656e-01,8.5852186393119609e+00,1.2450473198313114e+01,2.1239429813404762e-01,2.0593596474363957e-02,-1.6039869511656564e-03,5.4797629323354134e-06,-5.8244098415653414e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-0.0000000000000000e+00,open
