node,s_true,xhat,yhat,delta_norm,gap,slip_phys,vn,vt,rn_MPa,rt_MPa,cone_margin_MPa,soc_res_norm,friction_power,class
0,-1.0000000000000000e+00,1.1500000000000000e+01,7.4019237886466840e+00,2.6026668533952513e-01,4.0088090274812984e-16,-4.0058600361918105e-04,3.1431020980354774e-16,-1.3163955874292851e-05,5.2797605149442120e+01,3.1678563088778358e+01,8.8691365363047225e-10,2.2707691260118892e-11,-1.1914720190333730e-05,sliding
1,-8.9615606225228706e-01,1.1344234093378430e+01,7.6717182530022718e+00,8.2703013049947371e-02,6.4248581134849764e-15,-7.3571251386089288e-04,-9.1680135705374255e-16,-2.0844741936947246e-05,5.9819794587024170e+01,3.5891876753203867e+01,-9.8936681069972110e-10,2.1441589927657151e-11,-2.1375911672950018e-05,sliding
2,-7.4745379326413475e-01,1.1121180689896203e+01,8.0580580806346518e+00,1.7178857436779920e-02,4.0622169513645847e-15,-1.4554699668880349e-03,-5.8930792645912888e-16,-3.9365594019098450e-05,4.0907653786440605e+01,2.4544592271521729e+01,3.4263436532455671e-10,7.2409123664438229e-12,-2.7606070135000739e-05,sliding
3,-5.7822319546785383e-01,1.0867334793201781e+01,8.4977320710022699e+00,6.0881881771693630e-03,-6.2359241892254275e-15,-1.8614220453389303e-03,-3.8725499315519357e-16,-5.0932188758869632e-05,3.9425980917909499e+01,2.3655588551046410e+01,-3.0071234391471080e-10,8.9877969730781169e-12,-3.4423740036687175e-05,sliding
4,-4.1628519202640002e-01,1.0624427788039601e+01,8.9184593454575634e+00,1.5892476438126443e-01,6.9983238614975820e-15,-2.1176368639768254e-03,-8.5373128380118735e-16,-5.8543535565292376e-05,3.9909771116702856e+01,2.3945862669864706e+01,1.5700862832090934e-10,3.9379510435296491e-12,-4.0053584652995184e-05,sliding
5,-2.8562259441261884e-01,1.0428433891618928e+01,9.2579307320315589e+00,9.8904532863818131e-02,1.8003334471768372e-15,-2.2554180439756846e-03,-5.7978346448372790e-17,-6.3819521894157102e-05,4.3567820377020588e+01,2.6140692226353003e+01,-1.4065193454371183e-10,5.0332683557055234e-12,-4.7665327996233084e-05,sliding
6,-1.7579190491770658e-01,1.0263687857376560e+01,9.5432792336848227e+00,1.6990735504981269e-01,-1.1293049828609014e-15,-2.3914749881768947e-03,-1.0495077029659683e-16,-6.8458717733804994e-05,3.9047700010111207e+01,2.3428620006253873e+01,-1.8714985117185279e-10,5.0681689841616291e-12,-4.5825522397163162e-05,sliding
7,-3.3306690738754696e-16,1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,-5.1668717289280547e-15,-2.4973463384248538e-03,3.4000453074203331e-16,-7.1571626364544321e-05,3.8084255572674948e+01,2.2850553343486773e+01,1.1819523138001387e-10,3.1296260462119640e-12,-4.6727179032089265e-05,sliding
8,1.7579190491770613e-01,9.7363121426234400e+00,1.0456720766315176e+01,1.6990735504981117e-01,6.9000852203435368e-15,-2.4423116505326472e-03,1.7185451466842500e-17,-7.1268664077534034e-05,3.9736583234712775e+01,2.3841949941003591e+01,-1.7592682866052201e-10,4.7203749316638090e-12,-4.8548112037107642e-05,sliding
9,2.8562259441261850e-01,9.5715661083810719e+00,1.0742069267968441e+01,9.8904532863817243e-02,7.3104623017563920e-16,-2.3713938351070619e-03,-9.3985505277916284e-16,-7.1744602503171387e-05,4.0105180059339489e+01,2.4063108035432769e+01,1.7092460780077090e-10,4.6735742612878935e-12,-4.9325660599799810e-05,sliding
10,3.2831644968345852e-01,9.5075253254748127e+00,1.0852991157718572e+01,1.9982507295404520e-01,6.4523774887469526e-16,-2.3198523526216305e-03,8.8580164525012967e-17,-6.9520860248561606e-05,4.3656562529520563e+01,2.6193937517875174e+01,-1.6283507875414216e-10,3.8499409688033580e-12,-5.2029287701135850e-05,sliding
11,4.1643860380587361e-01,9.3753420942911898e+00,1.1081939230037229e+01,1.5894088392684236e-01,-3.2578106878844437e-15,-2.2895234440640042e-03,-2.1455852773719780e-16,-6.4456434803549943e-05,4.0382297153846913e+01,2.4229378292236383e+01,7.1764816311770119e-11,1.5215251951159550e-12,-4.4621124063545216e-05,sliding
12,5.7822319546785494e-01,9.1326652067982170e+00,1.1502267928997732e+01,6.0881881771629714e-03,-1.3029416548503495e-15,-2.1172296639347262e-03,-2.7987323829997690e-16,-5.7862140204455131e-05,3.8799365411801176e+01,2.3279619246881968e+01,1.9873880319210002e-10,5.6423950641995244e-12,-3.8485959793411904e-05,sliding
13,7.5990738882243836e-01,8.8601389167663420e+00,1.1974297309731192e+01,2.4664333338576478e-03,8.4063596369790907e-16,-1.8344367228061707e-03,-1.5216099864476251e-16,-4.8181000638907945e-05,3.8854989701849583e+01,2.3312993820887030e+01,2.2271962052400340e-10,6.3852979799795593e-12,-3.2092667719400425e-05,sliding
14,9.3155618467912915e-01,8.6026657229813068e+00,1.2420253962953900e+01,1.0444626041122397e-01,1.6868993089457895e-15,-1.2701380903858714e-03,2.1739100591281618e-17,-3.3430681922544484e-05,2.9457626259479117e+01,1.7674575755571006e+01,1.1646505981843802e-10,3.4839064352782714e-12,-1.6882089148583161e-05,sliding
