level,n_elem_target,n_elem_actual,n_c,h_eff,err_l2,ref_l2,rel_l2,rate,err_node_l2,ref_node_l2,rel_node_l2,gap_shift_rel,min_gap,final_cone_margin_abs,adjoint_rel,delassus_sym_rel,delassus_min_eig,patch_all_inf,soc_res_inf,max_friction_power_pos,n_open,n_sticking,n_sliding,n_other_active,contact_ok,t_build_s,t_solve_s,t_total_s,n_acc,n_rej
0,40,4284,15,3.055662e-01,5.826899e-04,4.448553e-03,0.130984,,9.260052e-04,7.011419e-03,0.132071,5.467645e-01,-6.235924e-15,9.893668e-10,1.301290e-15,4.729956e-02,7.625610e-02,6.661338e-16,1.947183e-11,0.000000e+00,0,0,15,0,1,2.308,82.839,85.147,1,0
1,50,6644,19,2.453665e-01,1.207626e-03,4.454040e-03,0.271130,-3.321,2.255065e-03,7.826958e-03,0.288115,5.087459e-01,-3.922417e-15,5.441692e-11,1.592827e-15,3.587910e-02,7.325534e-02,4.440892e-16,1.122621e-12,0.000000e+00,1,0,18,0,1,2.854,123.886,126.739,1,0
2,60,9462,22,2.056073e-01,5.128803e-04,4.456122e-03,0.115096,4.844,9.827409e-04,8.541158e-03,0.115059,5.560295e-01,-6.608601e-15,2.465939e-10,1.441439e-15,5.147922e-03,1.838834e-01,7.771561e-16,6.736648e-12,0.000000e+00,0,0,22,0,1,4.648,194.939,199.587,1,0
3,70,13070,25,1.749412e-01,5.123775e-04,4.456989e-03,0.114960,0.006,1.050610e-03,9.119727e-03,0.115202,5.996211e-01,-2.915697e-15,2.645848e-10,2.858669e-15,2.978142e-02,8.825193e-02,6.661338e-16,1.231570e-11,0.000000e+00,0,0,25,0,1,7.185,247.019,254.204,1,0
