level,n_elem_target,n_elem_actual,n_c,h_eff,err_l2,ref_l2,rel_l2,rate,err_node_l2,ref_node_l2,rel_node_l2,gap_shift_rel,min_gap,final_cone_margin_abs,adjoint_rel,delassus_sym_rel,delassus_min_eig,patch_all_inf,soc_res_inf,max_friction_power_pos,n_open,n_sticking,n_sliding,n_other_active,contact_ok,t_build_s,t_solve_s,t_total_s,n_acc,n_rej
0,40,4284,15,3.055662e-01,4.720064e-04,4.448553e-03,0.106103,,7.445517e-04,7.011419e-03,0.106191,5.280563e-01,-4.206012e-15,3.370957e-10,5.783841e-16,6.178927e-02,1.083215e-02,6.661338e-16,5.363858e-12,0.000000e+00,0,0,15,0,1,2.352,90.167,92.519,1,0
1,50,6644,19,2.453665e-01,1.098479e-03,4.454040e-03,0.246625,-3.850,1.946888e-03,7.826958e-03,0.248741,5.315779e-01,-4.487094e-15,1.419878e-10,8.269081e-16,8.207064e-02,2.975780e-02,4.440892e-16,3.505159e-12,4.042027e-21,1,0,18,0,1,2.871,123.742,126.613,1,0
2,60,9462,22,2.056073e-01,5.057188e-04,4.456122e-03,0.113489,4.388,9.691490e-04,8.541158e-03,0.113468,5.698712e-01,-1.149081e-14,4.263647e-10,6.089634e-16,6.082698e-02,5.940910e-02,6.661338e-16,9.293122e-12,0.000000e+00,0,0,22,0,1,5.422,183.927,189.349,1,0
3,70,13070,25,1.749412e-01,5.319142e-04,4.456989e-03,0.119344,-0.313,1.119742e-03,9.119727e-03,0.122782,5.764765e-01,-5.490951e-15,6.739782e-10,9.641576e-16,9.192562e-02,2.332356e-03,6.661338e-16,2.237988e-11,0.000000e+00,1,0,24,0,1,8.340,277.386,285.727,1,0
