N,n_c,h_eff,err_l2,rel_l2,rel_node_l2,gap_shift_rel,adjoint_rel,patch_all_inf,soc_res_inf,n_sliding,n_sticking,n_open,n_other_active
40,15,0.3055661656760704,0.0004720064248943105,0.10610335271601327,0.10619128762106228,0.5280562729091585,5.783841147737291e-16,6.661338147750939e-16,5.363857506305673e-12,15,0,0,0
50,19,0.24536645240595825,0.0010984794699274605,0.24662544309378412,0.24874138849476346,0.531577929038067,8.269080706240399e-16,4.440892098500626e-16,3.50515912591239e-12,18,0,1,0
60,22,0.20560729705021638,0.0005057188093349416,0.11348854368288462,0.11346809634621423,0.5698712394757856,6.08963427822085e-16,6.661338147750939e-16,9.293121827624873e-12,22,0,0,0
70,25,0.17494124054509932,0.000531914181784924,0.11934384333244198,0.12278235411462031,0.5764765117832863,9.641575695072494e-16,6.661338147750939e-16,2.2379875730393906e-11,24,0,1,0
